Indx	Word	UnTrn	StTrn	NSyll	NPhon	unsDENS	unsFDEN	unsLDEN	unsCDEN	strDENS	strFDEN	strLDEN	strCDEN	unsBPAV	unsFBPAV	unsLBPAV	unsCBPAV	strBPAV	strFBPAV	strLBPAV	strCBPAV	unsTPAV	unsFTPAV	unsLTPAV	unsCTPAV	strTPAV	strFTPAV	strLTPAV	strCTPAV	unsPOSPAV	unsFPOSPAV	unsLPOSPAV	unsCPOSPAV	strPOSPAV	strFPOSPAV	strLPOSPAV	strCPOSPAV	unsLCPOSPAV	unsFLCPOSPAV	unsLLCPOSPAV	unsCLCPOSPAV	strLCPOSPAV	strFLCPOSPAV	strLLCPOSPAV	strCLCPOSPAV			
1	aelehktrowmaegnahtihzahm (w:electromagnetism)	AE.L.EH.K.T.R.OW.M.AE.G.N.AH.T.IH.Z.AH.M	AE0.L.EH2.K.T.R.OW0.M.AE1.G.N.AH0.T.IH2.Z.AH0.M	7	17	1	0.06	0.03	3	1	0.06	0.03	3	0.00397141	0.00377276	0.00376567	0.00333964	0.00237247	0.00142948	0.00217630	0.00176782	0.00024750	0.00010103	0.00021370	0.00017391	0.00011502	0.00003640	0.00008938	0.00006497	0.06357738	0.07032784	0.06239526	0.07293625	0.05738843	0.06614543	0.05690035	0.06891543	32489585.20588235	0.14805583	0.16624041	0.17286915	32489579.55147059	0.13359920	0.15217391	0.15606242			
2	ahlawktrowkaardiyahgraem (w:electrocardiogram)	AH.L.AW.K.T.R.OW.K.AA.R.D.IY.AH.G.R.AE.M	AH0.L.AW1.K.T.R.OW0.K.AA1.R.D.IY0.AH0.G.R.AE2.M	7	17	0	0	0	0	0	0	0	0	0.00381970	0.00215616	0.00371900	0.00330427	0.00304334	0.00158534	0.00291301	0.00261721	0.00015956	0.00008133	0.00015290	0.00013577	0.00010361	0.00004915	0.00009967	0.00008618	0.05210024	0.03905955	0.04315246	0.04116660	0.05119101	0.03810837	0.04242967	0.04045503	64979161.59558824	0.09471585	0.09974424	0.10684273	64979165.36029412	0.09471585	0.09974424	0.10684273			
3	ahlawktrowmaegnahtihzahm (w:electromagnetism)	AH.L.AW.K.T.R.OW.M.AE.G.N.AH.T.IH.Z.AH.M	AH0.L.AW1.K.T.R.OW0.M.AE1.G.N.AH0.T.IH2.Z.AH0.M	7	17	0	0	0	0	0	0	0	0	0.00458992	0.00401045	0.00428091	0.00375002	0.00341290	0.00189141	0.00311052	0.00255405	0.00016716	0.00007298	0.00014138	0.00011588	0.00010678	0.00003583	0.00008421	0.00006432	0.06355156	0.07216070	0.06228622	0.07291637	0.05937896	0.07011983	0.05887113	0.07101333	64979162.60294118	0.14107677	0.15856777	0.16446579	64979114.59558824	0.12662014	0.14450128	0.14765906			
4	ahlehjtrowkaardiyahgraem (w:electrocardiogram)	AH.L.EH.JH.T.R.OW.K.AA.R.D.IY.AH.G.R.AE.M	AH0.L.EH2.JH.T.R.OW0.K.AA1.R.D.IY0.AH0.G.R.AE2.M	7	17	0	0	0	0	0	0	0	0	0.00370814	0.00214762	0.00359366	0.00316727	0.00278626	0.00145916	0.00264018	0.00233878	0.00017124	0.00008159	0.00016119	0.00013708	0.00009773	0.00004582	0.00009195	0.00007879	0.05138495	0.03806275	0.04252785	0.04093985	0.04909297	0.03582057	0.04035956	0.03864812	64979158.76470588	0.09272184	0.09718670	0.10444177	64979176.64705882	0.09272184	0.09718670	0.10444177			
5	ahlehjtrowmaegnahtihzahm (w:electromagnetism)	AH.L.EH.JH.T.R.OW.M.AE.G.N.AH.T.IH.Z.AH.M	AH0.L.EH2.JH.T.R.OW0.M.AE1.G.N.AH0.T.IH2.Z.AH0.M	7	17	0	0	0	0	0	0	0	0	0.00447837	0.00400192	0.00415557	0.00361303	0.00315583	0.00176523	0.00283769	0.00227562	0.00017885	0.00007323	0.00014966	0.00011719	0.00010090	0.00003251	0.00007648	0.00005693	0.06283627	0.07116391	0.06166162	0.07268962	0.05728092	0.06783203	0.05680103	0.06920642	64979176.71323530	0.13908275	0.15601023	0.16206483	64979175.76470588	0.12462612	0.14194373	0.14525810			
6	ahlehktraekaardiyahgraem (w:electrocardiogram)	AH.L.EH.K.T.R.AE.K.AA.R.D.IY.AH.G.R.AE.M	AH0.L.EH2.K.T.R.AE2.K.AA1.R.D.IY0.AH0.G.R.AE2.M	7	17	0	0	0	0	0	0	0	0	0.00441609	0.00244321	0.00428832	0.00377920	0.00310171	0.00158783	0.00294758	0.00262262	0.00029914	0.00012327	0.00028213	0.00022711	0.00011443	0.00005054	0.00010775	0.00008813	0.05339254	0.04054363	0.04446518	0.04288372	0.05108642	0.03770084	0.04225891	0.04028577	64979161.59558824	0.09471585	0.09974424	0.10684273	64979191.71323530	0.09471585	0.09974424	0.10684273			
7	ahlehktraemaegnahtihzahm (w:electromagnetism)	AH.L.EH.K.T.R.AE.M.AE.G.N.AH.T.IH.Z.AH.M	AH0.L.EH2.K.T.R.AE2.M.AE1.G.N.AH0.T.IH2.Z.AH0.M	7	17	0	0	0	0	0	0	0	0	0.00511220	0.00428976	0.00478787	0.00416105	0.00343896	0.00189200	0.00312414	0.00254951	0.00029630	0.00011211	0.00025764	0.00019848	0.00011702	0.00003576	0.00008973	0.00006290	0.06484386	0.07364478	0.06359894	0.07463349	0.05927437	0.06971229	0.05870038	0.07084407	64979175.77941176	0.14107677	0.15856777	0.16446579	64979173.88970588	0.12662014	0.14450128	0.14765906			
8	ahlehktraykaardiyahgraem (w:electrocardiogram)	AH.L.EH.K.T.R.AY.K.AA.R.D.IY.AH.G.R.AE.M	AH0.L.EH2.K.T.R.AY2.K.AA1.R.D.IY0.AH0.G.R.AE2.M	7	17	0	0	0	0	0	0	0	0	0.00411653	0.00253747	0.00401712	0.00364495	0.00304274	0.00157553	0.00289999	0.00259423	0.00024977	0.00012687	0.00023722	0.00021119	0.00010667	0.00004871	0.00010157	0.00008434	0.05377401	0.04019483	0.04470567	0.04291479	0.05163785	0.03804678	0.04268590	0.04070280	64979163.47794118	0.09471585	0.09974424	0.10684273	64979189.83088236	0.09471585	0.09974424	0.10684273			
9	ahlehktraymaegnahtihzahm (w:electromagnetism)	AH.L.EH.K.T.R.AY.M.AE.G.N.AH.T.IH.Z.AH.M	AH0.L.EH2.K.T.R.AY2.M.AE1.G.N.AH0.T.IH2.Z.AH0.M	7	17	0	0	0	0	0	0	0	0	0.00488501	0.00439471	0.00459371	0.00412737	0.00340826	0.00188703	0.00310013	0.00254282	0.00025840	0.00011962	0.00022299	0.00019347	0.00010831	0.00003330	0.00008169	0.00005796	0.06522533	0.07329598	0.06383943	0.07466455	0.05982580	0.07005824	0.05912736	0.07126110	64979165.42647060	0.14107677	0.15856777	0.16446579	64979113.65441176	0.12662014	0.14450128	0.14765906			
10	ahlehktrehkaardiyahgraem (w:electrocardiogram)	AH.L.EH.K.T.R.EH.K.AA.R.D.IY.AH.G.R.AE.M	AH0.L.EH2.K.T.R.EH2.K.AA1.R.D.IY0.AH0.G.R.AE2.M	7	17	0	0	0	0	0	0	0	0	0.00446381	0.00247745	0.00433915	0.00391511	0.00309888	0.00159186	0.00295487	0.00263536	0.00026952	0.00011600	0.00025172	0.00020960	0.00010761	0.00004923	0.00010381	0.00008592	0.05364004	0.04033057	0.04467198	0.04291245	0.05101381	0.03793663	0.04225090	0.04040478	32489572.89705882	0.10069791	0.10613811	0.11044418	64979184.18382354	0.09471585	0.09974424	0.10684273			
11	ahlehktrehmaegnahtihzahm (w:electromagnetism)	AH.L.EH.K.T.R.EH.M.AE.G.N.AH.T.IH.Z.AH.M	AH0.L.EH2.K.T.R.EH2.M.AE1.G.N.AH0.T.IH2.Z.AH0.M	7	17	0	0	0	0	0	0	0	0	0.00511705	0.00455430	0.00478450	0.00428039	0.00344077	0.00189082	0.00312034	0.00255358	0.00025942	0.00009925	0.00021994	0.00017254	0.00010796	0.00003328	0.00008155	0.00005799	0.06509136	0.07343172	0.06380574	0.07466222	0.05920176	0.06994809	0.05869236	0.07096308	32489541.90441177	0.14705883	0.16496164	0.16806723	64979154.12500000	0.12662014	0.14450128	0.14765906			
12	ahlehktrerkaardiyahgraem (w:electrocardiogram)	AH.L.EH.K.T.R.ER.K.AA.R.D.IY.AH.G.R.AE.M	AH0.L.EH2.K.T.R.ER0.K.AA1.R.D.IY0.AH0.G.R.AE2.M	7	17	0	0	0	0	0	0	0	0	0.00402515	0.00243936	0.00389949	0.00350201	0.00304213	0.00173954	0.00290695	0.00261216	0.00023491	0.00010352	0.00022086	0.00018357	0.00010420	0.00004852	0.00010051	0.00008396	0.05482532	0.04270071	0.04629943	0.04495665	0.05272028	0.04055551	0.04429229	0.04274919	64979113.59558824	0.09471585	0.09974424	0.10684273	64979172.88970588	0.09471585	0.09974424	0.10684273			
13	ahlehktrermaegnahtihzahm (w:electromagnetism)	AH.L.EH.K.T.R.ER.M.AE.G.N.AH.T.IH.Z.AH.M	AH0.L.EH2.K.T.R.ER0.M.AE1.G.N.AH0.T.IH2.Z.AH0.M	7	17	0	0	0	0	0	0	0	0	0.00482157	0.00437031	0.00448819	0.00396761	0.00342967	0.00209870	0.00311909	0.00257400	0.00024410	0.00009583	0.00020693	0.00016505	0.00010702	0.00003324	0.00008125	0.00005789	0.06627664	0.07580187	0.06543320	0.07670642	0.06090823	0.07256697	0.06073375	0.07330749	64979110.83823530	0.14107677	0.15856777	0.16446579	64979144.71323530	0.12662014	0.14450128	0.14765906			
14	ahlehktreykaardiyahgraem (w:electrocardiogram)	AH.L.EH.K.T.R.EY.K.AA.R.D.IY.AH.G.R.AE.M	AH0.L.EH2.K.T.R.EY0.K.AA1.R.D.IY0.AH0.G.R.AE2.M	7	17	0	0	0	0	0	0	0	0	0.00426010	0.00262729	0.00417506	0.00377882	0.00301850	0.00157431	0.00288805	0.00259049	0.00026589	0.00012241	0.00025789	0.00021941	0.00010443	0.00004853	0.00010062	0.00008398	0.05458463	0.04076646	0.04533388	0.04354132	0.05083907	0.03758736	0.04203282	0.04016140	64979155.00735294	0.09471585	0.09974424	0.10684273	64979183.24264706	0.09471585	0.09974424	0.10684273			
15	ahlehktreymaegnahtihzahm (w:electromagnetism)	AH.L.EH.K.T.R.EY.M.AE.G.N.AH.T.IH.Z.AH.M	AH0.L.EH2.K.T.R.EY0.M.AE1.G.N.AH0.T.IH2.Z.AH0.M	7	17	0	0	0	0	0	0	0	0	0.00501714	0.00445925	0.00472131	0.00419917	0.00338806	0.00187935	0.00308262	0.00252460	0.00026839	0.00010911	0.00023698	0.00019191	0.00010643	0.00003323	0.00008113	0.00005785	0.06603595	0.07386761	0.06446764	0.07529109	0.05902702	0.06959882	0.05847428	0.07071970	64979109.89705882	0.14107677	0.15856777	0.16446579	64979150.36029412	0.12662014	0.14450128	0.14765906			
16	ahlehktrihkaardiyahgraem (w:electrocardiogram)	AH.L.EH.K.T.R.IH.K.AA.R.D.IY.AH.G.R.AE.M	AH0.L.EH2.K.T.R.IH0.K.AA1.R.D.IY0.AH0.G.R.AE2.M	7	17	0	0	0	0	0	0	0	0	0.00494865	0.00269696	0.00482568	0.00428706	0.00365867	0.00182385	0.00352180	0.00311229	0.00030515	0.00015007	0.00028697	0.00024544	0.00014371	0.00008418	0.00014000	0.00012650	0.05762731	0.04283428	0.04849711	0.04600538	0.05493734	0.04035860	0.04594656	0.04344192	64979151.24264706	0.09471585	0.09974424	0.10684273	64979134.30147060	0.09471585	0.09974424	0.10684273			
