Indx	Word	UnTrn	StTrn	NSyll	NPhon	unsDENS	unsFDEN	unsLDEN	unsCDEN	strDENS	strFDEN	strLDEN	strCDEN	unsBPAV	unsFBPAV	unsLBPAV	unsCBPAV	strBPAV	strFBPAV	strLBPAV	strCBPAV	unsTPAV	unsFTPAV	unsLTPAV	unsCTPAV	strTPAV	strFTPAV	strLTPAV	strCTPAV	unsPOSPAV	unsFPOSPAV	unsLPOSPAV	unsCPOSPAV	strPOSPAV	strFPOSPAV	strLPOSPAV	strCPOSPAV	unsLCPOSPAV	unsFLCPOSPAV	unsLLCPOSPAV	unsCLCPOSPAV	strLCPOSPAV	strFLCPOSPAV	strLLCPOSPAV	strCLCPOSPAV			
1	aabey (w:abo)	AA.B.EY	AA1.B.EY1	2	3	5	35.24	3.03	1015	4	33.85	2.65	968	0.00060687	0.00054966	0.00071804	0.00076606	0.00052507	0.00051466	0.00067253	0.00075266	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01130860	0.01227968	0.01140849	0.01132847	0.00998266	0.01185062	0.01059232	0.01086093	0.00982456	0.00511354	0.00790102	0.00611245	0.00951995	0.00510175	0.00770200	0.00606032			
2	aadd (w:odds)	AA.D.D	AA1.D.D	1	3	2	19.06	1.32	710	2	19.06	1.32	710	0.00043769	0.00067707	0.00050931	0.00073453	0.00036674	0.00045423	0.00042625	0.00049912	0.00000170	0.00002969	0.00001697	0.00002397	0.00000176	0.00002868	0.00001739	0.00002439	0.01933355	0.02938694	0.01907881	0.02127744	0.01808593	0.02899930	0.01826247	0.02079857	0.02891228	0.03800978	0.02891346	0.03310630	0.02870810	0.03799472	0.02874545	0.03305359			
3	aadg (w:odds)	AA.D.G	AA1.D.G	1	3	4	43.73	2.93	1640	4	43.73	2.93	1640	0.00044545	0.00065696	0.00050605	0.00071763	0.00037482	0.00043505	0.00042288	0.00048190	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01269636	0.00817951	0.01192357	0.00986436	0.01145314	0.00780429	0.01112169	0.00940078	0.01487719	0.00196173	0.01031511	0.00524419	0.01470250	0.00195118	0.01016608	0.00519692			
4	aadk (w:odds)	AA.D.K	AA1.D.K	1	3	5	52.19	4.31	1817	5	52.19	4.31	1817	0.00050599	0.00066538	0.00054292	0.00073919	0.00043782	0.00044308	0.00046084	0.00050387	0.00000851	0.00000262	0.00000719	0.00000526	0.00000882	0.00000253	0.00000737	0.00000535	0.02512647	0.02350784	0.02533513	0.02513054	0.02387502	0.02312365	0.02450615	0.02464651	0.02891228	0.01971430	0.02933856	0.02457336	0.02870810	0.01970153	0.02917011	0.02452231			
5	aadl (w:odds)	AA.D.L	AA1.D.L	1	3	4	45.16	3.21	1727	4	45.16	3.21	1727	0.00081020	0.00071686	0.00077656	0.00087727	0.00075448	0.00049219	0.00070131	0.00064458	0.00001702	0.00000227	0.00001420	0.00000537	0.00001764	0.00000219	0.00001456	0.00000546	0.02935426	0.02429217	0.03017502	0.02812784	0.02810001	0.02390751	0.02933626	0.02763979	0.02919298	0.01612794	0.03042349	0.02560754	0.02898821	0.01611562	0.03025393	0.02555629			
6	aadm (w:odds)	AA.D.M	AA1.D.M	1	3	4	108.51	4.54	3572	4	108.51	4.54	3572	0.00057738	0.00070477	0.00065349	0.00082162	0.00051214	0.00048066	0.00057463	0.00058786	0.00000511	0.00000059	0.00000412	0.00000101	0.00000529	0.00000057	0.00000422	0.00000103	0.02224949	0.02402742	0.02213637	0.02189164	0.02099994	0.02364292	0.02131385	0.02141195	0.02147368	0.02232540	0.02187718	0.02150560	0.02128513	0.02231230	0.02171634	0.02145515			
7	aadn (w:odds)	AA.D.N	AA1.D.N	1	3	5	6998.95	6.61	10002	5	6998.95	6.61	10002	0.00052616	0.00069717	0.00061501	0.00079222	0.00045883	0.00047341	0.00053502	0.00055791	0.00000170	0.00000160	0.00000535	0.00000124	0.00000176	0.00000154	0.00000548	0.00000126	0.03667984	0.04088447	0.03761555	0.03877850	0.03542074	0.04049010	0.03676176	0.03827619	0.03228070	0.03758723	0.03657523	0.03760648	0.03206944	0.03757223	0.03639939	0.03755288			
8	aadr (w:odds)	AA.D.R	AA1.D.R	1	3	4	6725.26	11.95	19311	4	6725.26	11.95	19311	0.00117959	0.00121880	0.00139495	0.00172596	0.00113898	0.00097113	0.00133777	0.00150941	0.00002043	0.00000319	0.00001685	0.00000495	0.00001058	0.00000213	0.00001160	0.00000349	0.03167923	0.03586124	0.03302882	0.03137799	0.03042344	0.03546981	0.03218430	0.03088559	0.01908772	0.03458630	0.02211334	0.02461188	0.01890418	0.03457168	0.02195227	0.02456082			
9	aads (w:odds)	AA.D.S	AA1.D.S	1	3	7	56.91	4.88	1999	7	56.91	4.88	1999	0.00060532	0.00067290	0.00060344	0.00075929	0.00054122	0.00045025	0.00052312	0.00052435	0.00000340	0.00000055	0.00000387	0.00000157	0.00000353	0.00000053	0.00000397	0.00000160	0.03314045	0.02775426	0.03065672	0.02979622	0.03188369	0.02736758	0.02981699	0.02930594	0.02750877	0.01839843	0.02422451	0.02173629	0.02730754	0.01838582	0.02406129	0.02168580			
10	aadt (w:odds)	AA.D.T	AA1.D.T	1	3	6	114.53	4.81	3257	6	114.53	4.81	3257	0.00046253	0.00065681	0.00051419	0.00072180	0.00039259	0.00043490	0.00043126	0.00048615	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02713321	0.04824467	0.02767702	0.03109820	0.02588043	0.04784599	0.02684331	0.03060618	0.03214035	0.06565561	0.03791779	0.04417631	0.03192939	0.06563711	0.03774058	0.04412143			
