Indx	Word	UnTrn	StTrn	NSyll	NPhon	unsDENS	unsFDEN	unsLDEN	unsCDEN	strDENS	strFDEN	strLDEN	strCDEN	unsBPAV	unsFBPAV	unsLBPAV	unsCBPAV	strBPAV	strFBPAV	strLBPAV	strCBPAV	unsTPAV	unsFTPAV	unsLTPAV	unsCTPAV	strTPAV	strFTPAV	strLTPAV	strCTPAV	unsPOSPAV	unsFPOSPAV	unsLPOSPAV	unsCPOSPAV	strPOSPAV	strFPOSPAV	strLPOSPAV	strCPOSPAV	unsLCPOSPAV	unsFLCPOSPAV	unsLLCPOSPAV	unsCLCPOSPAV	strLCPOSPAV	strFLCPOSPAV	strLLCPOSPAV	strCLCPOSPAV			
1	aech (w:each)	AE.CH	AE1.CH	1	2	25	9365.02	39.59	52720	25	9365.02	39.59	52720	0.00050598	0.00022310	0.00053694	0.00050006	0.00048790	0.00018532	0.00052221	0.00044653	0	0	0	0	0	0	0	0	0.01217040	0.01313097	0.01072399	0.00986286	0.00735348	0.01211966	0.00777408	0.00826487	0.02814570	0.01187639	0.02662620	0.03079589	0.02735712	0.01045042	0.02578991	0.02921820			
2	aef (w:f)	AE.F	AE0.F	1	2	24	13883.65	39.66	63665	3	4771.45	8.33	17247	0.00078225	0.00058368	0.00075973	0.00082834	0.00002262	0.00000466	0.00002781	0.00001204	0	0	0	0	0	0	0	0	0.01415572	0.01599953	0.01264651	0.01275504	0.00450163	0.00309503	0.00401003	0.00418975	0.02483444	0.01689231	0.02858606	0.03777630	11884976.00483871	0.00491198	0.00689307	0.01096698			
3	aej (w:age)	AE.JH	AE1.JH	1	2	18	8967.2	30.84	43721	18	8967.2	30.84	43721	0.00025765	0.00013436	0.00033430	0.00028480	0.00023264	0.00011694	0.00030749	0.00026151	0	0	0	0	0	0	0	0	0.01300326	0.01310576	0.01126117	0.01000463	0.00818400	0.01209585	0.00830838	0.00840508	0.02483444	0.01166576	0.02505662	0.02879257	0.02413132	0.01025701	0.02425904	0.02729912			
4	aer (w:air)	AE.R	AE1.R	1	2	23	17584.52	47.66	74912	23	17584.52	47.66	74912	0.00024213	0.00016139	0.00040517	0.00027352	0.00023264	0.00015281	0.00040584	0.00027692	0	0	0	0	0	0	0	0	0.05572150	0.03161397	0.05177852	0.04450860	0.05078178	0.02957412	0.04860849	0.04253142	0.03311259	0.02133645	0.03986157	0.04968202	0.03219583	0.01913735	0.03869891	0.04731018			
5	aeTH (w:earth)	AE.TH	AE0.TH	1	2	24	9038.48	34.77	45070	4	116.25	3.95	2904	0.00024523	0.00010827	0.00031160	0.00020609	0.00001616	0.00000179	0.00001151	0.00000497	0	0	0	0	0	0	0	0	0.01271273	0.01303504	0.01100432	0.00976801	0.00306271	0.00029550	0.00237664	0.00123541	0.02649007	0.01167349	0.02486997	0.02825557	11871016.00645162	0.00011968	0.00326863	0.00184659			
6	aev (w:ad)	AE.V	AE1.V	1	2	17	26608.53	34.66	56790	17	26608.53	34.66	56790	0.00045942	0.00263060	0.00045998	0.00057749	0.00043297	0.00250788	0.00045268	0.00058268	0	0	0	0	0	0	0	0	0.01683832	0.02063197	0.01346236	0.01375797	0.01200824	0.01920325	0.01049776	0.01211734	0.02483444	0.02455417	0.02634622	0.03222569	0.02413132	0.02209208	0.02551684	0.03058788			
7	ahb (w:abe)	AH.B	AH1.B	1	2	23	47279.6	41.87	63265	23	17962.86	26.31	34090	0.00432413	0.00260814	0.00346767	0.00286398	0.00063331	0.00031506	0.00071709	0.00067147	0	0	0	0	0	0	0	0	0.02601660	0.03800594	0.02260442	0.02278037	0.00563129	0.01075863	0.00482075	0.00554170	0.01986755	0.03407595	0.02477327	0.03294706	0.01931853	0.01973311	0.01460109	0.01809038			
8	ahch (w:each)	AH.CH	AH1.CH	1	2	18	48953.12	50.16	86190	18	19636.38	34.6	57015	0.00024213	0.00063242	0.00037549	0.00065485	0.00009047	0.00056790	0.00021301	0.00056508	0	0	0	0	0	0	0	0	0.02253018	0.03616514	0.02036815	0.02126471	0.00215471	0.00902027	0.00259648	0.00404262	0.01986755	0.03440151	0.02876086	0.03727895	0.01931853	0.02003206	0.01849034	0.02224012			
9	ahj (w:age)	AH.JH	AH1.JH	1	2	15	47420.97	42.21	67099	15	18104.23	26.65	37924	0.00162038	0.00047078	0.00145645	0.00107991	0.00017771	0.00005760	0.00015591	0.00012193	0	0	0	0	0	0	0	0	0.02336305	0.03613994	0.02090533	0.02140647	0.00298523	0.00899646	0.00313078	0.00418283	0.01655629	0.03419088	0.02719127	0.03527564	0.01609273	0.01983865	0.01695947	0.02032105			
10	ahk (w:ache)	AH.K	AH1.K	1	2	31	47910.44	52.21	71417	29	18586.17	35.68	41904	0.00374985	0.00154469	0.00361926	0.00284213	0.00091765	0.00070257	0.00112134	0.00101747	0	0	0	0	0	0	0	0	0.03692132	0.03940846	0.03224490	0.02949224	0.01650526	0.01208310	0.01440956	0.01218012	0.02317881	0.03408209	0.02589319	0.03307518	0.02254435	0.01973875	0.01569339	0.01821311			
11	ahr (w:air)	AH.R	AH1.R	1	2	16	55960.79	56.27	96698	16	26644.05	40.71	67523	0.00007450	0.00001674	0.00007275	0.00002158	0.00001292	0.00000859	0.00003225	0.00001117	0	0	0	0	0	0	0	0	0.06608129	0.05464814	0.06142268	0.05591044	0.04558301	0.02647473	0.04343089	0.03830918	0.02483444	0.04386157	0.04199623	0.05616509	0.02415725	0.02871898	0.03139933	0.04033211			
12	ahsh (w:ash)	AH.SH	AH1.SH	1	2	18	47336.41	41.85	64683	18	18019.67	26.29	35508	0.00037871	0.00015301	0.00045544	0.00035450	0.00021649	0.00008031	0.00029518	0.00020470	0	0	0	0	0	0	0	0	0.02267545	0.03604884	0.02046978	0.02113241	0.00229957	0.00891044	0.00269757	0.00391178	0.01490067	0.03407928	0.02468844	0.03292051	0.01447983	0.01973617	0.01451834	0.01806495			
13	aog (w:egg)	AO.G	AO0.G	1	2	21	15396.85	28.87	41728	4	42.28	3.16	1224	0.00024523	0.00013209	0.00024162	0.00019656	0.00002262	0.00000187	0.00001516	0.00000545	0	0	0	0	0	0	0	0	0.00637146	0.00963390	0.00664086	0.00848920	0.00311955	0.00109332	0.00258109	0.00290558	0.02152318	0.01975541	0.01838106	0.02439611	12135968.00645162	0.00004353	0.00261490	0.00077832			
14	aok (w:ache)	AO.K	AO0.K	1	2	26	16238.55	30.65	50039	7	12.32	2.64	398	0.00037250	0.00089452	0.00049187	0.00098838	0.00002262	0.00000164	0.00001288	0.00000451	0	0	0	0	0	0	0	0	0.01837052	0.01209886	0.01665558	0.01470538	0.01508479	0.00342111	0.01254212	0.00905372	0.02649007	0.01972182	0.01793988	0.02384782	12136096.01129033	0.00001269	0.00218460	0.00025308			
15	aom (w:aim)	AO.M	AO0.M	1	2	19	27012.63	40.79	68951	7	11820.55	18.37	31266	0.00007760	0.00003640	0.00008460	0.00005387	0.00001616	0.00000165	0.00001185	0.00000394	0	0	0	0	0	0	0	0	0.01261795	0.01514483	0.01136858	0.01190868	0.00934843	0.00629758	0.00728347	0.00628763	0.02649007	0.03295972	0.03128554	0.04433767	12136224.01129033	0.01216868	0.01520117	0.01988135			
16	aop (w:ape)	AO.P	AO0.P	1	2	15	18951.15	27.32	48881	5	3683.58	5.35	8659	0.00008381	0.00013267	0.00014307	0.00026393	0.00000000	0.00000000	0.00000000	0.00000000	0	0	0	0	0	0	0	0	0.01281164	0.01199621	0.01294753	0.01280073	0.00954157	0.00332418	0.00885395	0.00716992	0.02317881	0.02383758	0.02023910	0.02933138	12136352.00806452	0.00379207	0.00442712	0.00550607			
17	aov (w:all)	AO.V	AO1.V	1	2	14	26743.99	26.29	45639	14	26741.72	25.78	45540	0.00000931	0.00000050	0.00000465	0.00000138	0.00000969	0.00000047	0.00000479	0.00000140	0	0	0	0	0	0	0	0	0.00864731	0.01635655	0.00751719	0.01037294	0.00749555	0.01524638	0.00664955	0.00954378	0.01986755	0.03271902	0.02052756	0.02948140	0.01930817	0.02926496	0.01946576	0.02792599			
18	aoz (w:as)	AO.Z	AO0.Z	1	2	31	32621.57	44.62	73850	9	11487.58	13.48	22653	0.00018315	0.00282660	0.00029543	0.00068907	0.00000323	0.00000005	0.00000057	0.00000013	0	0	0	0	0	0	0	0	0.00423119	0.01399779	0.00518426	0.00766012	0.00098532	0.00521437	0.00113230	0.00208557	0.02980132	0.03258643	0.02713676	0.03862045	12136608.01451613	0.01182590	0.01115470	0.01440454			
19	ayb (w:abe)	AY.B	AY0.B	1	2	16	40461.12	18.62	19717	5	6.84	1.32	205	0.00032904	0.00006128	0.00029222	0.00014995	0.00003877	0.00000524	0.00003841	0.00001309	0	0	0	0	0	0	0	0	0.00588763	0.02167370	0.00457070	0.00427791	0.00434609	0.00214728	0.00307628	0.00256790	0.01986755	0.00041679	0.00681807	0.00490929	12136736.00806452	0.00000704	0.00109230	0.00013036			
