Indx	Word	UnTrn	StTrn	NSyll	NPhon	unsDENS	unsFDEN	unsLDEN	unsCDEN	strDENS	strFDEN	strLDEN	strCDEN	unsBPAV	unsFBPAV	unsLBPAV	unsCBPAV	strBPAV	strFBPAV	strLBPAV	strCBPAV	unsTPAV	unsFTPAV	unsLTPAV	unsCTPAV	strTPAV	strFTPAV	strLTPAV	strCTPAV	unsPOSPAV	unsFPOSPAV	unsLPOSPAV	unsCPOSPAV	strPOSPAV	strFPOSPAV	strLPOSPAV	strCPOSPAV	unsLCPOSPAV	unsFLCPOSPAV	unsLLCPOSPAV	unsCLCPOSPAV	strLCPOSPAV	strFLCPOSPAV	strLLCPOSPAV	strCLCPOSPAV			
13	aartihngiyowsklerowsahs (w:arteriosclerosis)	AA.R.T.IH.NG.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.T.IH2.NG.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00449397	0.00348046	0.00434656	0.00418358	0.00193754	0.00074815	0.00184487	0.00153873	0.00023438	0.00012485	0.00022261	0.00022108	0.00003759	0.00000956	0.00003255	0.00002077	0.05254552	0.04384287	0.04711976	0.04376900	0.04639384	0.03775854	0.04068530	0.03695467	36821520.08410260	0.03673100	0.04686365	0.03582149	36821525.41333337	0.03414201	0.04341537	0.03292294			
14	aartihrayowsklerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.AY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.AY2.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00362901	0.00290676	0.00356777	0.00330260	0.00194654	0.00070583	0.00184409	0.00150912	0.00011012	0.00007290	0.00011643	0.00012099	0.00003732	0.00000955	0.00003246	0.00002074	0.05236301	0.03819381	0.04511026	0.03885661	0.04656725	0.03250449	0.03905782	0.03245278	36821520.08820515	0.04565178	0.05574557	0.04313374	36821525.41846156	0.04455428	0.05417817	0.04181622			
15	aartihriyaesklerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.AE.S.K.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.AE2.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00435051	0.00344144	0.00428768	0.00399632	0.00242637	0.00099787	0.00231184	0.00196826	0.00013971	0.00010351	0.00015386	0.00016894	0.00003962	0.00000977	0.00003399	0.00002134	0.05383687	0.04205649	0.04723054	0.04210517	0.04767267	0.03533208	0.04076233	0.03497089	0.08923077	0.04207784	0.05313324	0.04030107	36821524.35076926	0.03926372	0.04937149	0.03720489			
16	aartihriyaysklerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.AY.S.K.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.AY2.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00415850	0.00336402	0.00411494	0.00385423	0.00238436	0.00100460	0.00229235	0.00197396	0.00012439	0.00008316	0.00013562	0.00014157	0.00003745	0.00000957	0.00003263	0.00002080	0.05426920	0.04166118	0.04750309	0.04214038	0.04829762	0.03572415	0.04124625	0.03544353	36821512.62153849	0.04185271	0.05281976	0.04010344	36821515.81743593	0.03926372	0.04937149	0.03720489			
17	aartihriyehsklerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.EH.S.K.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.EH2.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00440461	0.00415494	0.00436540	0.00412747	0.00241598	0.00100237	0.00231444	0.00197829	0.00013487	0.00008574	0.00014390	0.00014705	0.00003908	0.00000965	0.00003326	0.00002100	0.05411737	0.04181503	0.04746491	0.04213773	0.04759037	0.03559932	0.04075325	0.03510577	0.09333333	0.04781866	0.05877588	0.04563703	0.08615385	0.04449799	0.05417817	0.04207972			
18	aartihriyersklerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.ER.S.K.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.ER0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00427845	0.00341618	0.00420451	0.00394130	0.00248453	0.00103894	0.00236498	0.00203847	0.00013068	0.00008460	0.00014191	0.00014463	0.00004302	0.00001083	0.00003823	0.00002363	0.05546069	0.04450119	0.04930936	0.04445449	0.04952438	0.03856738	0.04306683	0.03776276	0.09025641	0.04427286	0.05574557	0.04260673	0.08512821	0.04145874	0.05198382	0.03944468			
19	aartihriyeysklerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.EY.S.K.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.EY0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00449109	0.00344629	0.00437959	0.00404219	0.00238090	0.00099413	0.00228560	0.00195848	0.00013880	0.00008634	0.00014703	0.00014903	0.00003759	0.00000957	0.00003265	0.00002081	0.05518791	0.04230903	0.04821507	0.04285045	0.04739234	0.03520348	0.04050609	0.03482993	0.08923077	0.04311907	0.05449165	0.04161859	36821536.08410260	0.03926372	0.04937149	0.03720489			
20	aartihriyihsklerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.IH.S.K.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.IH0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00486204	0.00399060	0.00469980	0.00436733	0.00286742	0.00145650	0.00265539	0.00227210	0.00016629	0.00009425	0.00016870	0.00016652	0.00006283	0.00001655	0.00005372	0.00003813	0.05863627	0.04465257	0.05180006	0.04564306	0.05203704	0.03834421	0.04494166	0.03854785	36821507.28820516	0.04185271	0.05281976	0.04010344	36821532.88410259	0.03926372	0.04937149	0.03720489			
21	aartihriyowlklerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.L.K.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.L.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00403743	0.00333936	0.00400643	0.00377563	0.00216418	0.00090514	0.00207626	0.00178412	0.00012754	0.00008374	0.00013865	0.00014240	0.00003623	0.00000949	0.00003218	0.00002054	0.05277978	0.04415992	0.04736500	0.04398750	0.04662596	0.03809612	0.04093038	0.03718807	0.08615385	0.04455428	0.05438716	0.04201385	0.08205128	0.04196528	0.05093889	0.03911529			
22	aartihriyownklerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.N.K.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.N.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00406182	0.00331984	0.00400731	0.00374483	0.00220734	0.00090366	0.00209980	0.00179088	0.00013159	0.00008521	0.00014293	0.00014655	0.00004234	0.00001110	0.00003781	0.00002505	0.05530430	0.04801128	0.05037514	0.04667013	0.04915033	0.04194747	0.04394048	0.03987069	0.09641026	0.05156145	0.06201517	0.04860146	0.09230769	0.04897245	0.05856689	0.04570291			
23	aartihriyowsdlerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.D.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.D.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00386293	0.00319901	0.00379867	0.00355873	0.00201647	0.00083689	0.00192235	0.00163971	0.00012557	0.00008357	0.00013736	0.00014179	0.00003691	0.00000976	0.00003286	0.00002066	0.05566939	0.04634029	0.04941995	0.04542319	0.04951534	0.04027542	0.04298452	0.03862278	36821472.08717951	0.04699332	0.05734780	0.04453800	36821529.68307694	0.04440432	0.05389953	0.04163945			
24	aartihriyowshklerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.SH.K.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.SH.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00391615	0.00322569	0.00387527	0.00362100	0.00212748	0.00089471	0.00204854	0.00176394	0.00012492	0.00008349	0.00013706	0.00014202	0.00003569	0.00000946	0.00003196	0.00002046	0.05091270	0.04031787	0.04522947	0.04049213	0.04475898	0.03425408	0.03879487	0.03369273	0.08923077	0.05082978	0.06180618	0.04827208	0.08512821	0.04824078	0.05835790	0.04537353			
25	aartihriyowsklerihsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.L.ER.IH.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.K.L.ER0.IH0.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00496026	0.00401090	0.00479051	0.00442711	0.00290481	0.00144948	0.00267612	0.00227041	0.00016263	0.00010775	0.00017194	0.00017878	0.00004641	0.00001514	0.00004107	0.00003224	0.05790459	0.04378311	0.05058575	0.04430043	0.05163727	0.03772134	0.04414789	0.03749611	0.09948718	0.04967178	0.06142325	0.04738227	0.09230769	0.04680500	0.05746216	0.04415852			
26	aartihriyowskleriysahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.L.ER.IY.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.K.L.ER0.IY0.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00431038	0.00345237	0.00428625	0.00401264	0.00245106	0.00101367	0.00235903	0.00200001	0.00013264	0.00008653	0.00014550	0.00014932	0.00003827	0.00000987	0.00003426	0.00002168	0.06092973	0.04868764	0.05373446	0.04940420	0.05477586	0.04261780	0.04728690	0.04258678	36821472.08923078	0.04714400	0.05762838	0.04471560	36821529.68512821	0.04455500	0.05418010	0.04181705			
27	aartihriyowsklerowlahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.L.ER.OW.L.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.K.L.ER0.OW1.L.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00431060	0.00328703	0.00416639	0.00378019	0.00248037	0.00100972	0.00230580	0.00192531	0.00016616	0.00009067	0.00016622	0.00015711	0.00007287	0.00001443	0.00005583	0.00003146	0.05468986	0.04559139	0.05265775	0.04645196	0.04853598	0.03952760	0.04622313	0.03965255	0.08512821	0.04744955	0.05793607	0.04530097	0.08102564	0.04486056	0.05448780	0.04240242			
28	aartihriyowsklerownahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.L.ER.OW.N.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.K.L.ER0.OW1.N.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00426005	0.00336713	0.00412442	0.00378878	0.00248314	0.00109341	0.00231813	0.00196061	0.00018057	0.00009807	0.00017229	0.00016528	0.00009227	0.00002305	0.00006551	0.00004289	0.05550618	0.05893408	0.05449590	0.05676703	0.04935230	0.05287029	0.04806128	0.04996762	0.08717949	0.04797733	0.05875658	0.04582129	0.08307692	0.04538834	0.05530831	0.04292274			
29	aartihriyowsklerowsahz (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.L.ER.OW.S.AH.Z	AA0.R.T.IH2.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.Z	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00373699	0.00324621	0.00374002	0.00355260	0.00195946	0.00107565	0.00194122	0.00171620	0.00013644	0.00009052	0.00015720	0.00015956	0.00004790	0.00001612	0.00005210	0.00003796	0.05378283	0.05706559	0.05441924	0.05818128	0.04762895	0.05100180	0.04798462	0.05138187	0.08923077	0.06653261	0.06734432	0.06507050	0.08512821	0.06394361	0.06389604	0.06217195			
30	aartihriyowsklerowsiys (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.L.ER.OW.S.IY.S	AA0.R.T.IH2.R.IY0.OW0.S.K.L.ER0.OW1.S.IY0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00340994	0.00282811	0.00334397	0.00314521	0.00154495	0.00068296	0.00146631	0.00126582	0.00011706	0.00007804	0.00012555	0.00013193	0.00002307	0.00000243	0.00001393	0.00000603	0.05255281	0.06027061	0.05473353	0.06143915	0.04639894	0.05420682	0.04829891	0.05463974	0.06666667	0.05063279	0.04811757	0.05031424	0.06256410	0.04804379	0.04466929	0.04741569			
31	aartihriyowsklerowvahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.L.ER.OW.V.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.K.L.ER0.OW1.V.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00392856	0.00309483	0.00378273	0.00345530	0.00215587	0.00089956	0.00199815	0.00169387	0.00011745	0.00008078	0.00012725	0.00013636	0.00002904	0.00000670	0.00002154	0.00001440	0.04888487	0.04108260	0.04587003	0.04135325	0.04273099	0.03501881	0.03943541	0.03455384	36821510.48307693	0.04603289	0.05588479	0.04367495	36821537.14564104	0.04344389	0.05243651	0.04077640			
32	aartihriyowsklerowzahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.L.ER.OW.Z.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.K.L.ER0.OW1.Z.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00392479	0.00312535	0.00381908	0.00353821	0.00214133	0.00092429	0.00201963	0.00176837	0.00011182	0.00008126	0.00012493	0.00013355	0.00002280	0.00000715	0.00001894	0.00001157	0.05496196	0.04466260	0.05100789	0.04510538	0.04880809	0.03859881	0.04457327	0.03830597	0.08615385	0.04631067	0.05639761	0.04400016	0.08205128	0.04372167	0.05294933	0.04110160			
33	aartihriyowskliyowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.L.IY.OW.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.K.L.IY0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00463587	0.00371131	0.00456785	0.00436224	0.00272271	0.00120407	0.00258900	0.00229965	0.00015661	0.00009548	0.00016398	0.00016639	0.00006296	0.00001627	0.00005155	0.00003717	0.05892692	0.04614571	0.05286381	0.04681881	0.05277304	0.04008192	0.04642919	0.04001940	0.09128205	0.04806067	0.05896171	0.04582129	0.08717949	0.04547167	0.05551344	0.04292274			
34	aartihriyowsknerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.N.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.K.N.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00407912	0.00332290	0.00404564	0.00378179	0.00224542	0.00095750	0.00217992	0.00187342	0.00012400	0.00008326	0.00013632	0.00014166	0.00003487	0.00000934	0.00003116	0.00002021	0.05560073	0.04547024	0.05009474	0.04493008	0.04944685	0.03940629	0.04365988	0.03813058	0.09435898	0.05628289	0.06880787	0.05466682	0.09025641	0.05369389	0.06535959	0.05176827			
35	aartihriyowskserowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.S.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.K.S.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00448421	0.00357651	0.00448017	0.00422607	0.00262554	0.00115598	0.00258193	0.00227309	0.00012911	0.00008466	0.00014148	0.00014491	0.00003962	0.00001063	0.00003601	0.00002341	0.05387526	0.04072600	0.04600257	0.04066372	0.04772138	0.03466224	0.03956805	0.03386434	0.08205128	0.04953289	0.05814120	0.04491073	0.07794872	0.04694389	0.05469292	0.04201217			
36	aartihriyowsksherowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.SH.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.K.SH.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00401903	0.00329850	0.00398183	0.00373230	0.00218911	0.00093709	0.00212100	0.00183029	0.00012518	0.00008350	0.00013764	0.00014220	0.00003609	0.00000958	0.00003251	0.00002076	0.05035244	0.03713169	0.04322053	0.03724665	0.04419856	0.03106807	0.03678623	0.03044736	0.08205128	0.04483844	0.05444889	0.04237414	0.07794872	0.04224945	0.05100062	0.03947559			
37	aartihriyowskterowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.K.T.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.K.T.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00467601	0.00367695	0.00462369	0.00434378	0.00282495	0.00127213	0.00273041	0.00239739	0.00014705	0.00010528	0.00015913	0.00016693	0.00005767	0.00003052	0.00005382	0.00004566	0.05543640	0.04341434	0.04923657	0.04362628	0.04928252	0.03735048	0.04280178	0.03682681	0.08307692	0.04414400	0.05352581	0.04152861	0.07897436	0.04155500	0.05007754	0.03863006			
38	aartihriyowsllerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.L.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.L.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00391925	0.00322738	0.00386684	0.00362035	0.00207509	0.00086396	0.00199251	0.00170251	0.00012374	0.00008383	0.00013699	0.00014315	0.00003460	0.00000935	0.00003122	0.00002022	0.05589770	0.04435262	0.04958386	0.04489316	0.04974363	0.03828818	0.04314836	0.03809289	0.09333333	0.04786983	0.05878458	0.04550858	0.08923077	0.04528083	0.05533631	0.04261003			
39	aartihriyowsnlerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.N.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.N.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00388400	0.00324748	0.00383583	0.00361391	0.00203840	0.00088314	0.00196059	0.00169595	0.00012308	0.00008313	0.00013567	0.00014134	0.00003420	0.00000933	0.00003102	0.00002017	0.05836706	0.04930791	0.05347994	0.04901303	0.05221277	0.04324240	0.04704303	0.04221166	0.09333333	0.04995800	0.06165815	0.04787437	0.08923077	0.04736900	0.05820987	0.04497581			
40	aartihriyowsshlerowsahs (w:arteriosclerosis)	AA.R.T.IH.R.IY.OW.S.SH.L.ER.OW.S.AH.S	AA0.R.T.IH2.R.IY0.OW0.S.SH.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00381127	0.00320131	0.00376377	0.00355124	0.00196270	0.00083909	0.00188642	0.00163209	0.00012295	0.00008311	0.00013556	0.00014131	0.00003420	0.00000933	0.00003102	0.00002017	0.05361460	0.04161148	0.04737350	0.04197410	0.04746074	0.03554764	0.04093880	0.03517461	0.08820513	0.05178837	0.06175393	0.04902693	0.08410257	0.04919937	0.05830566	0.04612838			
