Indx	Word	UnTrn	StTrn	NSyll	NPhon	unsDENS	unsFDEN	unsLDEN	unsCDEN	strDENS	strFDEN	strLDEN	strCDEN	unsBPAV	unsFBPAV	unsLBPAV	unsCBPAV	strBPAV	strFBPAV	strLBPAV	strCBPAV	unsTPAV	unsFTPAV	unsLTPAV	unsCTPAV	strTPAV	strFTPAV	strLTPAV	strCTPAV	unsPOSPAV	unsFPOSPAV	unsLPOSPAV	unsCPOSPAV	strPOSPAV	strFPOSPAV	strLPOSPAV	strCPOSPAV	unsLCPOSPAV	unsFLCPOSPAV	unsLLCPOSPAV	unsCLCPOSPAV	strLCPOSPAV	strFLCPOSPAV	strLLCPOSPAV	strCLCPOSPAV			
1	aardihriyowsklerowsahs (w:arteriosclerosis)	AA.R.D.IH.R.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.D.IH2.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00401171	0.00272532	0.00405288	0.00378004	0.00240790	0.00096619	0.00229910	0.00193012	0.00009860	0.00004942	0.00010069	0.00008991	0.00003650	0.00000892	0.00002975	0.00001929	0.05222289	0.03759697	0.04543261	0.03973773	0.04607005	0.03153539	0.03900147	0.03294095	0.08923077	0.04745283	0.05804442	0.04517590	0.08512821	0.04486383	0.05459615	0.04227735			
2	aargihriyowsklerowsahs (w:arteriosclerosis)	AA.R.G.IH.R.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.G.IH2.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00330396	0.00262133	0.00335582	0.00322074	0.00227243	0.00091161	0.00216007	0.00180848	0.00006573	0.00002658	0.00006617	0.00005328	0.00003569	0.00000875	0.00002875	0.00001904	0.05089546	0.03335549	0.04400157	0.03745512	0.04474349	0.02729639	0.03757331	0.03066139	36821514.75076926	0.04635532	0.05637253	0.04385838	36821516.88000003	0.04376632	0.05292426	0.04095983			
3	aarkihriyowsklerowsahs (w:arteriosclerosis)	AA.R.K.IH.R.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.K.IH2.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00347026	0.00255605	0.00353064	0.00339871	0.00232251	0.00091555	0.00219440	0.00181386	0.00009559	0.00004022	0.00009121	0.00007400	0.00003813	0.00000902	0.00003038	0.00001963	0.05338148	0.03642115	0.04668388	0.04050835	0.04722787	0.03036026	0.04025020	0.03371054	0.08923077	0.04916944	0.06044777	0.04688868	0.08512821	0.04658045	0.05699949	0.04399013			
4	aarlihriyowsklerowsahs (w:arteriosclerosis)	AA.R.L.IH.R.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.L.IH2.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00376471	0.00256944	0.00369257	0.00342921	0.00229643	0.00090818	0.00216968	0.00179592	0.00007267	0.00003710	0.00007604	0.00006106	0.00003542	0.00000873	0.00002858	0.00001899	0.05422704	0.03657802	0.04765186	0.04110781	0.04807287	0.03051703	0.04121623	0.03430919	0.08512821	0.04669301	0.05689500	0.04418776	0.08102564	0.04410402	0.05344672	0.04128921			
5	aarmihriyowsklerowsahs (w:arteriosclerosis)	AA.R.M.IH.R.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.M.IH2.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00363034	0.00258229	0.00362750	0.00338422	0.00235205	0.00092441	0.00222920	0.00184544	0.00008786	0.00003537	0.00008863	0.00006986	0.00003650	0.00000887	0.00002964	0.00001921	0.05280608	0.03652507	0.04604413	0.03986057	0.04665285	0.03046412	0.03961174	0.03306362	0.08615385	0.04967599	0.06034327	0.04688868	0.08205128	0.04708699	0.05689500	0.04399013			
6	aarnihriyowsklerowsahs (w:arteriosclerosis)	AA.R.N.IH.R.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.N.IH2.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00364963	0.00251675	0.00364937	0.00342454	0.00230704	0.00091760	0.00217948	0.00181331	0.00007843	0.00003930	0.00007836	0.00007059	0.00003582	0.00000880	0.00002908	0.00001913	0.05569215	0.03989648	0.04913996	0.04323794	0.04953701	0.03383355	0.04270133	0.03643647	0.09230769	0.05474141	0.06567243	0.05209290	0.08820513	0.05215242	0.06222415	0.04919435			
7	aarrihriyowsklerowsahs (w:arteriosclerosis)	AA.R.R.IH.R.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.R.IH2.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00381437	0.00260965	0.00385574	0.00356481	0.00225858	0.00089157	0.00213168	0.00176965	0.00005657	0.00002176	0.00005492	0.00004443	0.00003447	0.00000872	0.00002839	0.00001895	0.05469203	0.03889183	0.04822262	0.04175784	0.04853755	0.03282949	0.04178583	0.03495835	0.08615385	0.04680558	0.05710398	0.04438539	0.08205128	0.04421658	0.05365571	0.04148684			
8	aarsihriyowsklerowsahs (w:arteriosclerosis)	AA.R.S.IH.R.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.S.IH2.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00379065	0.00261268	0.00378230	0.00356835	0.00233428	0.00093963	0.00220626	0.00184485	0.00008249	0.00003388	0.00008011	0.00006618	0.00003623	0.00000978	0.00002996	0.00002139	0.05498427	0.03727044	0.04774820	0.04144149	0.04882960	0.03120905	0.04131237	0.03464242	0.10256410	0.08507770	0.08876543	0.08285706	0.09846154	0.08248871	0.08531715	0.07995851			
9	aartaariyowsklerowsahs (w:arteriosclerosis)	AA.R.T.AA.R.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.T.AA0.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00377890	0.00289609	0.00384321	0.00368226	0.00243652	0.00100179	0.00232628	0.00197683	0.00009546	0.00010031	0.00010751	0.00013001	0.00004071	0.00000982	0.00003424	0.00002144	0.05024875	0.03768205	0.04291611	0.03679326	0.04759499	0.03526177	0.04067712	0.03484107	0.08923077	0.04840963	0.05940283	0.04609817	36821516.88512824	0.04455428	0.05417817	0.04181622			
10	aarterriyowsklerowsahs (w:arteriosclerosis)	AA.R.T.ER.R.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.T.ER0.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00379331	0.00264884	0.00379071	0.00354570	0.00283626	0.00122719	0.00270718	0.00230199	0.00009231	0.00006386	0.00010046	0.00010119	0.00005075	0.00001392	0.00004657	0.00002913	0.05332251	0.04057576	0.04637287	0.04000597	0.05111863	0.03862625	0.04448916	0.03839009	0.08923077	0.04649602	0.05679050	0.04392425	0.08820513	0.04500454	0.05490963	0.04234323			
11	aarteyriyowsklerowsahs (w:arteriosclerosis)	AA.R.T.EY.R.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.T.EY2.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00347158	0.00250505	0.00348275	0.00331364	0.00243629	0.00099986	0.00232199	0.00197352	0.00008577	0.00006002	0.00009084	0.00009507	0.00004044	0.00000985	0.00003438	0.00002148	0.05014797	0.03770737	0.04305127	0.03700113	0.04771996	0.03543199	0.04082050	0.03497894	36821514.75282054	0.04604576	0.05605905	0.04339724	36821526.48512824	0.04455428	0.05417817	0.04181622			
12	aarTHihriyowsklerowsahs (w:arteriosclerosis)	AA.R.TH.IH.R.IY.OW.S.K.L.ER.OW.S.AH.S	AA0.R.TH.IH2.R.IY0.OW0.S.K.L.ER0.OW1.S.AH0.S	7	15	1	0.02	0.01	1	1	0.02	0.01	1	0.00324853	0.00257736	0.00329153	0.00319265	0.00225558	0.00093756	0.00213910	0.00180390	0.00005761	0.00002251	0.00005625	0.00004410	0.00003515	0.00000876	0.00002874	0.00001907	0.05006029	0.03371939	0.04323727	0.03700757	0.04390888	0.02766008	0.03681056	0.03021445	36821522.21743593	0.04635532	0.05637253	0.04385838	36821527.54666671	0.04376632	0.05292426	0.04095983			
