Indx	Word	UnTrn	StTrn	NSyll	NPhon	unsDENS	unsFDEN	unsLDEN	unsCDEN	strDENS	strFDEN	strLDEN	strCDEN	unsBPAV	unsFBPAV	unsLBPAV	unsCBPAV	strBPAV	strFBPAV	strLBPAV	strCBPAV	unsTPAV	unsFTPAV	unsLTPAV	unsCTPAV	strTPAV	strFTPAV	strLTPAV	strCTPAV	unsPOSPAV	unsFPOSPAV	unsLPOSPAV	unsCPOSPAV	strPOSPAV	strFPOSPAV	strLPOSPAV	strCPOSPAV	unsLCPOSPAV	unsFLCPOSPAV	unsLLCPOSPAV	unsCLCPOSPAV	strLCPOSPAV	strFLCPOSPAV	strLLCPOSPAV	strCLCPOSPAV			
1	aeksprehshahnihstihk (w:expressionistic)	AE.K.S.P.R.EH.SH.AH.N.IH.S.T.IH.K	AE0.K.S.P.R.EH2.SH.AH0.N.IH1.S.T.IH0.K	5	14	1	0.08	0.03	4	1	0.08	0.03	4	0.00810120	0.00581944	0.00776006	0.00715693	0.00650531	0.00430706	0.00617594	0.00542017	0.00081537	0.00043222	0.00073167	0.00061593	0.00054274	0.00018546	0.00048382	0.00036785	0.05520698	0.04508279	0.05092739	0.04765877	0.04780123	0.04004997	0.04518899	0.04282023	0.08519794	0.16828664	0.12193005	0.16780728	0.07831325	0.16559065	0.11449155	0.16469961			
2	aekstraevahgaenzahz (w:extravaganzas)	AE.K.S.T.R.AE.V.AH.G.AE.N.Z.AH.Z	AE0.K.S.T.R.AE2.V.AH0.G.AE1.N.Z.AH0.Z	5	14	1	0.04	0.02	2	1	0.04	0.02	2	0.00425082	0.00342592	0.00424044	0.00394024	0.00366463	0.00277287	0.00364678	0.00345600	0.00026753	0.00011387	0.00026110	0.00021359	0.00017273	0.00006818	0.00015859	0.00013480	0.05918670	0.08088053	0.06297351	0.07499205	0.05723746	0.07874283	0.06133271	0.07348643	0.10585198	0.22296833	0.15963154	0.21514452	0.09896730	0.22106405	0.15358621	0.21322481			
3	aelehktrahfihkeyshahn (w:electrification)	AE.L.EH.K.T.R.AH.F.IH.K.EY.SH.AH.N	AE0.L.EH2.K.T.R.AH0.F.IH0.K.EY1.SH.AH0.N	6	14	1	0.02	0.01	1	1	0.02	0.01	1	0.00616897	0.00367193	0.00591810	0.00522311	0.00503662	0.00251233	0.00470499	0.00385310	0.00070614	0.00022210	0.00060854	0.00045941	0.00058919	0.00015706	0.00049386	0.00034773	0.05248177	0.03424093	0.04551290	0.03678634	0.04840359	0.02987525	0.04181020	0.03282359	0.10843373	0.01855569	0.06418899	0.02130028	0.09896730	0.01659943	0.05759082	0.01909409			
4	aenchrahpaalahjahsts (w:anthropologists)	AE.N.CH.R.AH.P.AA.L.AH.JH.AH.S.T.S	AE2.N.CH.R.AH0.P.AA1.L.AH0.JH.AH0.S.T.S	5	14	1	0.18	0.07	9	1	0.18	0.07	9	0.00502304	0.00357016	0.00480408	0.00426255	0.00418559	0.00171494	0.00387814	0.00325397	0.00032739	0.00030228	0.00025615	0.00021409	0.00027593	0.00006787	0.00020335	0.00014916	0.06932738	0.05871075	0.06052033	0.05903258	0.06719348	0.05596404	0.05847532	0.05708331	0.12005163	0.03698029	0.07894014	0.04104280	0.11876076	0.03669002	0.07780911	0.04067084			
5	aenchrahpahlaajahkahl (w:anthropological)	AE.N.CH.R.AH.P.AH.L.AA.JH.AH.K.AH.L	AE2.N.CH.R.AH0.P.AH0.L.AA1.JH.AH0.K.AH0.L	6	14	1	0.51	0.18	17	1	0.51	0.18	17	0.00576136	0.00387712	0.00540963	0.00462497	0.00480497	0.00207322	0.00436722	0.00354592	0.00022937	0.00010604	0.00020529	0.00015991	0.00019272	0.00008942	0.00017327	0.00013718	0.05935402	0.04996359	0.05817760	0.05079039	0.05743118	0.04737546	0.05630293	0.04893780	0.11445783	0.02657898	0.08494425	0.03087995	0.11359724	0.02643384	0.08437874	0.03067597			
6	aendahstrahktahbahl (w:indestructible)	AE.N.D.AH.S.T.R.AH.K.T.AH.B.AH.L	AE0.N.D.AH0.S.T.R.AH1.K.T.AH0.B.AH0.L	5	14	0	0	0	0	0	0	0	0	0.00778338	0.00631475	0.00755803	0.00695826	0.00629429	0.00431378	0.00600869	0.00556274	0.00071111	0.00068613	0.00066903	0.00059319	0.00053818	0.00017755	0.00048475	0.00038737	0.07339857	0.06727714	0.07448016	0.06700421	0.06263658	0.05625821	0.06323965	0.05603224	0.11359725	0.08110476	0.11304401	0.08320363	0.10068847	0.03255092	0.09156055	0.03818496			
7	aendahstriyahlahsts (w:industrialists)	AE.N.D.AH.S.T.R.IY.AH.L.AH.S.T.S	AE0.N.D.AH1.S.T.R.IY0.AH0.L.AH0.S.T.S	5	14	0	0	0	0	0	0	0	0	0.00905920	0.00651656	0.00865768	0.00802679	0.00734391	0.00425576	0.00686393	0.00633944	0.00070572	0.00077982	0.00065071	0.00057103	0.00044395	0.00023865	0.00036992	0.00029502	0.08411220	0.08017083	0.07719119	0.07775304	0.07394071	0.07068377	0.06691862	0.06854755	0.12521515	0.04300468	0.09064174	0.04844347	0.11187608	0.03669620	0.07765408	0.04106839			
8	aendahvihjuwahlahsts (w:individualists)	AE.N.D.AH.V.IH.JH.UW.AH.L.AH.S.T.S	AE0.N.D.AH0.V.IH1.JH.UW0.AH0.L.AH0.S.T.S	6	14	0	0	0	0	0	0	0	0	0.00606295	0.00479579	0.00581348	0.00530425	0.00524715	0.00308574	0.00486197	0.00426700	0.00040102	0.00054936	0.00036939	0.00031834	0.00028151	0.00007553	0.00023602	0.00016710	0.07597429	0.06619120	0.06751956	0.06530948	0.06882814	0.05988902	0.06100220	0.05933983	0.11488812	0.04013457	0.08218996	0.04507471	0.10542169	0.03844192	0.07602037	0.04314370			
9	aendihvahduwahlihzahm (w:individualism)	AE.N.D.IH.V.AH.D.UW.AH.L.IH.Z.AH.M	AE0.N.D.IH0.V.AH0.D.UW1.AH0.L.IH2.Z.AH0.M	7	14	0	0	0	0	0	0	0	0	0.00537382	0.00489848	0.00515417	0.00482720	0.00380630	0.00250222	0.00356517	0.00315033	0.00032484	0.00039221	0.00026565	0.00021452	0.00013951	0.00002828	0.00010394	0.00006727	0.06635465	0.06146138	0.06445905	0.06244665	0.05719692	0.05340008	0.05621838	0.05458690	0.11230637	0.03218377	0.08833426	0.03748828	0.09767642	0.02969322	0.07954789	0.03457757			
10	aendrahpaalahjahsts (w:anthropologists)	AE.N.D.R.AH.P.AA.L.AH.JH.AH.S.T.S	AE2.N.D.R.AH0.P.AA1.L.AH0.JH.AH0.S.T.S	5	14	1	0.18	0.07	9	1	0.18	0.07	9	0.00562669	0.00445194	0.00546895	0.00505952	0.00481392	0.00255629	0.00456245	0.00406609	0.00041790	0.00065313	0.00035826	0.00032975	0.00030856	0.00007872	0.00022822	0.00016666	0.07146354	0.06326563	0.06262552	0.06170333	0.06932823	0.06051626	0.06057627	0.05975049	0.12435456	0.03804009	0.08233115	0.04227846	0.12306368	0.03774982	0.08120012	0.04190650			
