,Word,CompCnt,PhonDISC,SylCnt,num_phones,num_sylls_est,log_prob,surprisal
0,A,1,a,1,1,1,-4.700550007649209,4.700550007649209
1,Ae,1,),1,1,1,-4.708450774298808,4.708450774298808
2,aalen,1,al@n,2,4,2,-4.999406915338237,4.999406915338237
3,Aal,1,al,1,2,1,-4.736786961022151,4.736786961022151
4,aalglatt,2,algl&t,2,6,2,-6.063007357428288,6.063007357428288
5,Aar,1,ar,1,2,1,-4.711913282258061,4.711913282258061
6,Aas,1,as,1,2,1,-4.815655241548465,4.815655241548465
7,Aasgeier,2,asgW@r,3,6,3,-5.546341397727687,5.546341397727687
8,ab,1,&p,1,2,1,-4.699100804750681,4.699100804750681
9,ab,1,&p,1,2,1,-4.699100804750681,4.699100804750681
10,Abakus,0,ab&kUs,3,6,3,-6.960273482870787,6.960273482870787
11,abaendern,2,&pEnd@rn,3,8,3,-5.769157144067058,5.769157144067058
12,abaenderlich,2,&pEnd@rlIx,4,10,4,-6.51705135376767,6.51705135376767
13,Abaenderung,2,&pEnd@rUN,4,9,4,-5.893277843878078,5.893277843878078
14,Abandon,0,&bqd~,3,5,3,-5.144697040948851,5.144697040948851
15,abandonnieren,2,&bqdOnir@n,5,10,5,-5.6923516926721875,5.6923516926721875
16,abarbeiten,2,&p&rbWt@n,4,9,4,-6.651788523386761,6.651788523386761
17,abarten,2,&part@n,3,7,3,-5.406840062181965,5.406840062181965
18,Abart,1,&part,2,5,2,-4.891653013168224,4.891653013168224
19,abartig,2,&partIx,3,7,3,-4.6914662244131335,4.6914662244131335
20,Abartung,2,&partUN,3,7,3,-5.365742896661394,5.365742896661394
21,Abasie,0,&b&zi,3,5,3,-5.865095155696746,5.865095155696746
22,abaesten,2,&pEst@n,3,7,3,-6.401227535870266,6.401227535870266
23,abbauen,2,&pbB@n,3,6,3,-4.994008753792948,4.994008753792948
24,Abbau,1,&pbB,2,4,2,-4.74720054087623,4.74720054087623
25,Abbaufeld,2,&pbBfElt,3,8,3,-5.690042011185146,5.690042011185146
26,Abbaugerechtigkeit,2,&pbBg@rExtIxkWt,6,15,6,-7.756009875750408,7.756009875750408
27,Abbaurecht,2,&pbBrExt,3,8,3,-5.5139936658709265,5.5139936658709265
28,abbauwuerdig,2,&pbBvYrdIx,4,10,4,-5.563105126957455,5.563105126957455
29,abbeissen,2,&pbWs@n,3,7,3,-5.071998174292962,5.071998174292962
30,abbeizen,2,&pbW=@n,3,7,3,-5.404989373713637,5.404989373713637
31,abbekommen,2,&pb@kOm@n,4,9,4,-5.101180798350466,5.101180798350466
32,abberufen,2,&pb@ruf@n,4,9,4,-5.776612156702277,5.776612156702277
33,Abberufung,2,&pb@rufUN,4,9,4,-5.7722052701122415,5.7722052701122415
34,abbestellen,2,&pb@StEl@n,4,10,4,-6.259416146141594,6.259416146141594
35,Abbestellung,2,&pb@StElUN,4,10,4,-6.053309725720412,6.053309725720412
36,abbezahlen,2,&pb@=al@n,4,9,4,-5.490272639203658,5.490272639203658
