,index,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal
0,0,a,4.36,1,1,ART,1,1,1,False,6,-4.543025138092167,4.543025138092167
1,4,AA,0.48,1,11,N,2,2,2,False,1,-4.726224485145988,4.726224485145988
2,6,aback,0.48,2,@b{k,ADV,2,4,2,False,0,-4.818141549634575,4.818141549634575
3,7,abacus,0.0,0,{b@k@s,N,3,6,3,False,0,-5.343813153125434,5.343813153125434
4,8,abaft,0.0,1,@b#ft,ADV,2,5,2,False,1,-5.092447407113093,5.092447407113093
5,10,abandon,0.3,1,@b{nd@n,N,3,7,3,False,1,-7.1057237705726015,7.1057237705726015
6,12,abandoned,0.0,1,@b{nd@nd,A,3,8,3,False,0,-8.130319761810437,8.130319761810437
7,13,abandonment,0.7,2,@b{nd@nm@nt,N,4,11,4,False,0,-8.317134179369862,8.317134179369862
8,14,abase,0.0,0,@b1s,V,2,4,2,False,0,-4.5214352148221995,4.5214352148221995
9,15,abasement,0.0,2,@b1sm@nt,N,3,8,3,False,0,-5.2441661994512945,5.2441661994512945
10,16,abash,0.0,0,@b{S,V,2,4,2,False,0,-4.832328609418115,4.832328609418115
11,17,abate,0.3,0,@b1t,V,2,4,2,False,0,-4.612639262947324,4.612639262947324
12,18,abatement,0.0,2,@b1tm@nt,N,3,8,3,False,0,-5.4182799957490015,5.4182799957490015
13,19,abattoir,0.3,0,{b@tw#R,N,3,7,3,False,0,-5.324763417211125,5.324763417211125
14,20,abbe,0.0,1,{b1,N,2,3,2,False,0,-4.7284481353312025,4.7284481353312025
15,21,abbess,0.48,0,{bEs,N,2,4,2,False,0,-4.8300857945306515,4.8300857945306515
16,22,abbey,1.0,1,{bI,N,2,3,2,False,0,-4.7284481353312025,4.7284481353312025
17,23,abbot,0.3,1,{b@t,N,2,4,2,False,0,-5.0172158234884385,5.0172158234884385
18,24,abbreviate,0.3,0,@brivI1t,V,4,8,4,False,0,-6.0026061154859045,6.0026061154859045
19,25,abbreviation,0.0,2,@brivI1SH,N,5,9,4,False,0,-5.8673123896160035,5.8673123896160035
20,26,ABC,0.3,1,1bisi,N,3,5,3,False,0,-5.050297365063697,5.050297365063697
21,27,abdicate,0.3,0,{bdIk1t,V,3,7,3,False,0,-4.879108641013676,4.879108641013676
22,28,abdication,0.3,2,{bdIk1SH,N,4,8,3,False,0,-5.000487987676741,5.000487987676741
23,29,abdomen,0.78,0,{bd@mEn,N,3,7,3,False,0,-6.612263564347118,6.612263564347118
24,30,abdominal,0.85,2,{bdQmInP,A,4,8,3,False,0,-6.611090357534086,6.611090357534086
25,31,abduct,0.0,0,@bdVkt,V,2,6,2,False,0,-5.792985938510181,5.792985938510181
26,32,abduction,0.0,2,{bdVkSH,N,3,7,2,False,0,-5.2304498969901125,5.2304498969901125
27,33,abeam,0.0,2,@bim,ADV,2,4,2,False,0,-4.779960193242373,4.779960193242373
28,34,abed,0.0,2,@bEd,A,2,4,2,False,0,-4.667197612620498,4.667197612620498
29,35,aberrant,0.0,2,{bEr@nt,A,3,7,3,False,0,-6.017064080290097,6.017064080290097
30,36,aberration,0.48,0,{b@r1SH,N,4,7,3,False,0,-4.678789849205456,4.678789849205456
31,37,abet,0.3,1,@bEt,V,2,4,2,False,0,-4.888586737195015,4.888586737195015
32,38,abettor,0.0,2,@bEt@R,N,3,6,3,False,0,-5.642845450362428,5.642845450362428
