,index,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal
0,0,a,4.36,1,1,ART,1,1,1,False,6,-3.6773537195799726,3.6773537195799726
1,4,AA,0.48,1,11,N,2,2,2,False,1,-7.334801505087776,7.334801505087776
2,6,aback,0.48,2,@b{k,ADV,2,4,2,False,0,-5.724694499838193,5.724694499838193
3,7,abacus,0.0,0,{b@k@s,N,3,6,3,False,0,-8.430950700998604,8.430950700998604
4,8,abaft,0.0,1,@b#ft,ADV,2,5,2,False,1,-7.62133747863483,7.62133747863483
5,10,abandon,0.3,1,@b{nd@n,N,3,7,3,False,1,-8.274408728912043,8.274408728912043
6,12,abandoned,0.0,1,@b{nd@nd,A,3,8,3,False,0,-9.011742807531695,9.011742807531695
7,13,abandonment,0.7,2,@b{nd@nm@nt,N,4,11,4,False,0,-12.63310163726264,12.63310163726264
8,14,abase,0.0,0,@b1s,V,2,4,2,False,0,-6.3188058772035305,6.3188058772035305
9,15,abasement,0.0,2,@b1sm@nt,N,3,8,3,False,0,-10.55741110734666,10.55741110734666
10,16,abash,0.0,0,@b{S,V,2,4,2,False,0,-6.531811616124731,6.531811616124731
11,17,abate,0.3,0,@b1t,V,2,4,2,False,0,-5.661579112140662,5.661579112140662
12,18,abatement,0.0,2,@b1tm@nt,N,3,8,3,False,0,-10.26466042072336,10.26466042072336
13,19,abattoir,0.3,0,{b@tw#R,N,3,7,3,False,0,-10.537946974544504,10.537946974544504
14,20,abbe,0.0,1,{b1,N,2,3,2,False,0,-5.976553095647893,5.976553095647893
15,21,abbess,0.48,0,{bEs,N,2,4,2,False,0,-6.163235993132845,6.163235993132845
16,22,abbey,1.0,1,{bI,N,2,3,2,False,0,-4.651451705576046,4.651451705576046
17,23,abbot,0.3,1,{b@t,N,2,4,2,False,0,-5.88893674760945,5.88893674760945
18,24,abbreviate,0.3,0,@brivI1t,V,4,8,4,False,0,-10.65461895595346,10.65461895595346
19,25,abbreviation,0.0,2,@brivI1SH,N,5,9,4,False,0,-10.508662225563413,10.508662225563413
20,26,ABC,0.3,1,1bisi,N,3,5,3,False,0,-9.955214700227515,9.955214700227515
21,27,abdicate,0.3,0,{bdIk1t,V,3,7,3,False,0,-9.757927434211297,9.757927434211297
22,28,abdication,0.3,2,{bdIk1SH,N,4,8,3,False,0,-9.61197070382125,9.61197070382125
23,29,abdomen,0.78,0,{bd@mEn,N,3,7,3,False,0,-10.40841920401101,10.40841920401101
24,30,abdominal,0.85,2,{bdQmInP,A,4,8,3,False,0,-12.051142982408791,12.051142982408791
25,31,abduct,0.0,0,@bdVkt,V,2,6,2,False,0,-9.681645249842713,9.681645249842713
26,32,abduction,0.0,2,{bdVkSH,N,3,7,2,False,0,-10.425410387158227,10.425410387158227
27,33,abeam,0.0,2,@bim,ADV,2,4,2,False,0,-6.502232131950594,6.502232131950594
28,34,abed,0.0,2,@bEd,A,2,4,2,False,0,-6.102998468598225,6.102998468598225
29,35,aberrant,0.0,2,{bEr@nt,A,3,7,3,False,0,-8.922356678681204,8.922356678681204
30,36,aberration,0.48,0,{b@r1SH,N,4,7,3,False,0,-7.442235851149505,7.442235851149505
31,37,abet,0.3,1,@bEt,V,2,4,2,False,0,-5.960339866222857,5.960339866222857
32,38,abettor,0.0,2,@bEt@R,N,3,6,3,False,0,-7.100564355397051,7.100564355397051
33,39,abeyance,0.0,2,@b1@ns,N,3,6,3,False,0,-8.80549399082769,8.80549399082769
34,40,abeyant,0.0,0,@b1@nt,A,3,6,3,False,0,-8.543723637042916,8.543723637042916
35,41,abhor,0.3,0,@bh$R,V,2,5,2,False,0,-8.217995012400193,8.217995012400193
36,42,abhorrence,0.0,2,@bhQr@ns,N,3,8,3,False,0,-11.349051923366996,11.349051923366996
37,43,abhorrent,0.0,2,@bhQr@nt,A,3,8,3,False,0,-11.087281569582224,11.087281569582224
38,45,abide,0.7,0,@b2d,V,2,4,2,False,0,-6.031011803292277,6.031011803292277
39,47,abiding,0.3,1,@b2dIN,A,3,6,3,False,0,-7.606489416516386,7.606489416516386
40,48,abilities,0.0,1,@bIl@tIz,N,4,8,4,False,0,-9.721088728480291,9.721088728480291
41,49,ability,1.94,2,@bIl@tI,N,4,7,4,False,0,-8.349616982560066,8.349616982560066
42,51,abject,0.48,0,{b_Ekt,A,2,6,2,False,0,-9.007228802168019,9.007228802168019
43,52,abjection,0.0,2,{b_EkSH,N,3,7,2,False,0,-9.395636938308877,9.395636938308877
44,53,abjectly,0.0,2,{b_EktlI,ADV,3,8,3,False,0,-10.966155450007646,10.966155450007646
45,54,abjuration,0.0,2,{b_9r1SH,N,4,8,3,False,0,-9.887010251366018,9.887010251366018
46,55,abjure,0.0,0,@b_9R,V,2,5,2,False,0,-7.871030008662691,7.871030008662691
47,56,ablative,0.0,1,{bl@tIv,N,3,7,3,False,1,-9.066544808896682,9.066544808896682
48,58,ablaut,0.0,0,{bl6t,N,2,5,2,False,0,-7.573744250980291,7.573744250980291
49,59,ablaze,0.0,2,@bl1z,A,2,5,2,False,1,-7.07862311817119,7.07862311817119
50,61,able,2.52,1,1bP,A,2,3,1,False,0,-5.190643782775649,5.190643782775649
51,65,ablution,0.0,0,@bluSH,N,3,6,2,False,0,-7.443162003819072,7.443162003819072
52,66,ablutions,0.0,1,@bluSHz,N,3,7,2,False,0,-9.457301557437123,9.457301557437123
53,67,ably,0.6,2,1blI,ADV,2,4,2,False,0,-6.254927084625778,6.254927084625778
54,68,abnegate,0.0,2,{bnIg1t,V,3,7,3,False,0,-10.754669414178338,10.754669414178338
55,69,abnegation,0.0,2,{bnIg1SH,N,4,8,3,False,0,-10.608712683788289,10.608712683788289
56,70,abnormal,0.78,2,{bn$mP,A,3,6,2,False,0,-11.504822913664395,11.504822913664395
57,71,abnormality,0.3,2,{bn$m{l@tI,N,5,10,5,False,0,-14.681846297804842,14.681846297804842
58,72,abnormally,0.3,2,{bn$m@lI,ADV,4,8,4,False,0,-11.894058738663203,11.894058738663203
59,73,abo,0.0,1,{b5,N,2,3,2,False,0,-5.576057219322455,5.576057219322455
60,74,aboard,0.85,2,@b$d,ADV,2,4,2,False,1,-5.836846731937722,5.836846731937722
61,76,abode,0.3,0,@b5d,N,2,4,2,False,0,-6.350907737674127,6.350907737674127
62,77,abolish,1.23,0,@bQlIS,V,3,6,3,False,0,-8.203128743915036,8.203128743915036
63,78,abolition,0.9,2,{b5lISH,N,4,7,3,False,0,-8.115184877699056,8.115184877699056
