,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal
0,a,4.36,1,1,ART,1,1,1,False,6,-4.543025138092167,4.543025138092167
1,a,4.37,1,1,N,1,1,1,False,6,-4.543025138092167,4.543025138092167
2,a,2.67,0,1,,1,1,1,False,6,-4.543025138092167,4.543025138092167
3,A,4.37,0,1,,1,1,1,False,6,-4.543025138092167,4.543025138092167
4,AA,0.48,1,11,N,2,2,2,False,1,-4.726224485145988,4.726224485145988
5,AA,0.7,0,11,,2,2,2,False,1,-4.726224485145988,4.726224485145988
6,aback,0.48,2,@b{k,ADV,2,4,2,False,0,-4.818141549634575,4.818141549634575
7,abacus,0.0,0,{b@k@s,N,3,6,3,False,0,-5.343813153125434,5.343813153125434
8,abaft,0.0,1,@b#ft,ADV,2,5,2,False,1,-5.092447407113093,5.092447407113093
9,abaft,0.0,2,@b#ft,PREP,2,5,2,False,1,-5.092447407113093,5.092447407113093
10,abandon,0.3,1,@b{nd@n,N,3,7,3,False,1,-7.1057237705726015,7.1057237705726015
11,abandon,1.73,1,@b{nd@n,V,3,7,3,False,1,-7.1057237705726015,7.1057237705726015
12,abandoned,0.0,1,@b{nd@nd,A,3,8,3,False,0,-8.130319761810437,8.130319761810437
13,abandonment,0.7,2,@b{nd@nm@nt,N,4,11,4,False,0,-8.317134179369862,8.317134179369862
14,abase,0.0,0,@b1s,V,2,4,2,False,0,-4.5214352148221995,4.5214352148221995
15,abasement,0.0,2,@b1sm@nt,N,3,8,3,False,0,-5.2441661994512945,5.2441661994512945
16,abash,0.0,0,@b{S,V,2,4,2,False,0,-4.832328609418115,4.832328609418115
17,abate,0.3,0,@b1t,V,2,4,2,False,0,-4.612639262947324,4.612639262947324
18,abatement,0.0,2,@b1tm@nt,N,3,8,3,False,0,-5.4182799957490015,5.4182799957490015
19,abattoir,0.3,0,{b@tw#R,N,3,7,3,False,0,-5.324763417211125,5.324763417211125
20,abbe,0.0,1,{b1,N,2,3,2,False,0,-4.7284481353312025,4.7284481353312025
21,abbess,0.48,0,{bEs,N,2,4,2,False,0,-4.8300857945306515,4.8300857945306515
22,abbey,1.0,1,{bI,N,2,3,2,False,0,-4.7284481353312025,4.7284481353312025
23,abbot,0.3,1,{b@t,N,2,4,2,False,0,-5.0172158234884385,5.0172158234884385
24,abbreviate,0.3,0,@brivI1t,V,4,8,4,False,0,-6.0026061154859045,6.0026061154859045
25,abbreviation,0.0,2,@brivI1SH,N,5,9,4,False,0,-5.8673123896160035,5.8673123896160035
26,ABC,0.3,1,1bisi,N,3,5,3,False,0,-5.050297365063697,5.050297365063697
27,abdicate,0.3,0,{bdIk1t,V,3,7,3,False,0,-4.879108641013676,4.879108641013676
28,abdication,0.3,2,{bdIk1SH,N,4,8,3,False,0,-5.000487987676741,5.000487987676741
29,abdomen,0.78,0,{bd@mEn,N,3,7,3,False,0,-6.612263564347118,6.612263564347118
30,abdominal,0.85,2,{bdQmInP,A,4,8,3,False,0,-6.611090357534086,6.611090357534086
31,abduct,0.0,0,@bdVkt,V,2,6,2,False,0,-5.792985938510181,5.792985938510181
32,abduction,0.0,2,{bdVkSH,N,3,7,2,False,0,-5.2304498969901125,5.2304498969901125
33,abeam,0.0,2,@bim,ADV,2,4,2,False,0,-4.779960193242373,4.779960193242373
34,abed,0.0,2,@bEd,A,2,4,2,False,0,-4.667197612620498,4.667197612620498
35,aberrant,0.0,2,{bEr@nt,A,3,7,3,False,0,-6.017064080290097,6.017064080290097
36,aberration,0.48,0,{b@r1SH,N,4,7,3,False,0,-4.678789849205456,4.678789849205456
37,abet,0.3,1,@bEt,V,2,4,2,False,0,-4.888586737195015,4.888586737195015
38,abettor,0.0,2,@bEt@R,N,3,6,3,False,0,-5.642845450362428,5.642845450362428
39,abeyance,0.0,2,@b1@ns,N,3,6,3,False,0,-5.186890826794081,5.186890826794081
40,abeyant,0.0,0,@b1@nt,A,3,6,3,False,0,-5.105146904713315,5.105146904713315
41,abhor,0.3,0,@bh$R,V,2,5,2,False,0,-4.9796848264912175,4.9796848264912175
42,abhorrence,0.0,2,@bhQr@ns,N,3,8,3,False,0,-6.400957586959412,6.400957586959412
43,abhorrent,0.0,2,@bhQr@nt,A,3,8,3,False,0,-5.635085758235978,5.635085758235978
45,abide,0.7,0,@b2d,V,2,4,2,False,0,-4.74612468435053,4.74612468435053
47,abiding,0.3,1,@b2dIN,A,3,6,3,False,0,-5.0485321261966405,5.0485321261966405
48,abilities,0.0,1,@bIl@tIz,N,4,8,4,False,0,-6.406837949205653,6.406837949205653
49,ability,1.94,2,@bIl@tI,N,4,7,4,False,0,-4.382192550450298,4.382192550450298
51,abject,0.48,0,{b_Ekt,A,2,6,2,False,0,-4.770276716328977,4.770276716328977
52,abjection,0.0,2,{b_EkSH,N,3,7,2,False,0,-4.8189252337047295,4.8189252337047295
53,abjectly,0.0,2,{b_EktlI,ADV,3,8,3,False,0,-5.931125026986409,5.931125026986409
54,abjuration,0.0,2,{b_9r1SH,N,4,8,3,False,0,-5.087918926873045,5.087918926873045
55,abjure,0.0,0,@b_9R,V,2,5,2,False,0,-4.93707341466404,4.93707341466404
56,ablative,0.0,1,{bl@tIv,N,3,7,3,False,1,-6.405480598303132,6.405480598303132
57,ablative,0.0,0,{bl@tIv,A,3,7,3,False,1,-6.405480598303132,6.405480598303132
58,ablaut,0.0,0,{bl6t,N,2,5,2,False,0,-5.013285141584472,5.013285141584472
59,ablaze,0.0,2,@bl1z,A,2,5,2,False,1,-5.3684546995711955,5.3684546995711955
60,ablaze,0.0,1,@bl1z,ADV,2,5,2,False,1,-5.3684546995711955,5.3684546995711955
61,able,2.52,1,1bP,A,2,3,1,False,0,-4.796661251577932,4.796661251577932
65,ablution,0.0,0,@bluSH,N,3,6,2,False,0,-4.5733021810719015,4.5733021810719015
66,ablutions,0.0,1,@bluSHz,N,3,7,2,False,0,-5.831723161745985,5.831723161745985
67,ably,0.6,2,1blI,ADV,2,4,2,False,0,-5.150521047014547,5.150521047014547
68,abnegate,0.0,2,{bnIg1t,V,3,7,3,False,0,-5.23878653366887,5.23878653366887
69,abnegation,0.0,2,{bnIg1SH,N,4,8,3,False,0,-5.151267061314773,5.151267061314773
70,abnormal,0.78,2,{bn$mP,A,3,6,2,False,0,-4.6793376593041724,4.6793376593041724
71,abnormality,0.3,2,{bn$m{l@tI,N,5,10,5,False,0,-5.730670621626117,5.730670621626117
72,abnormally,0.3,2,{bn$m@lI,ADV,4,8,4,False,0,-5.818388891068682,5.818388891068682
73,abo,0.0,1,{b5,N,2,3,2,False,0,-4.6156855547093265,4.6156855547093265
74,aboard,0.85,2,@b$d,ADV,2,4,2,False,1,-4.823148153823862,4.823148153823862
75,aboard,0.95,1,@b$d,PREP,2,4,2,False,1,-4.823148153823862,4.823148153823862
76,abode,0.3,0,@b5d,N,2,4,2,False,0,-4.909248060059273,4.909248060059273
77,abolish,1.23,0,@bQlIS,V,3,6,3,False,0,-5.945660328213662,5.945660328213662
78,abolition,0.9,2,{b5lISH,N,4,7,3,False,0,-5.180079601381081,5.180079601381081
79,abolitionist,0.0,2,{b5lIS@nIst,N,5,11,5,False,0,-7.779660993085408,7.779660993085408
81,abominable,0.3,0,@bQmIn@bP,A,5,9,4,False,0,-5.837528164455177,5.837528164455177
83,abominably,0.0,2,@bQmIn@blI,ADV,5,10,5,False,0,-6.042679620107697,6.042679620107697
84,abominate,0.0,0,@bQmIn1t,V,4,8,4,False,0,-5.161336521973923,5.161336521973923
85,abomination,0.0,2,@bQmIn1SH,N,5,9,4,False,0,-5.105785970926796,5.105785970926796
86,aboriginal,0.0,1,{b@rI_@nP,N,5,9,4,False,1,-7.73286855617245,7.73286855617245
87,aboriginal,0.78,2,{b@rI_@nP,A,5,9,4,False,1,-7.73286855617245,7.73286855617245
88,aborigine,0.0,1,{b@rI_@nI,N,5,9,5,False,0,-7.840921147003766,7.840921147003766
