,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,num_phones,num_sylls_est,log_prob,surprisal
0,a,4.36,1,1,ART,1,1,1,-3.6773537195799726,3.6773537195799726
1,a,4.37,1,1,N,1,1,1,-3.6773537195799726,3.6773537195799726
2,a,2.67,0,1,,1,1,1,-3.6773537195799726,3.6773537195799726
3,A,4.37,0,1,,1,1,1,-3.6773537195799726,3.6773537195799726
4,AA,0.48,1,11,N,2,2,2,-7.334801505087776,7.334801505087776
5,AA,0.7,0,11,,2,2,2,-7.334801505087776,7.334801505087776
6,aback,0.48,2,@b{k,ADV,2,4,2,-5.724694499838193,5.724694499838193
7,abacus,0.0,0,{b@k@s,N,3,6,3,-8.430950700998604,8.430950700998604
8,abaft,0.0,1,@b#ft,ADV,2,5,2,-7.62133747863483,7.62133747863483
9,abaft,0.0,2,@b#ft,PREP,2,5,2,-7.62133747863483,7.62133747863483
10,abandon,0.3,1,@b{nd@n,N,3,7,3,-8.274408728912043,8.274408728912043
11,abandon,1.73,1,@b{nd@n,V,3,7,3,-8.274408728912043,8.274408728912043
12,abandoned,0.0,1,@b{nd@nd,A,3,8,3,-9.011742807531695,9.011742807531695
13,abandonment,0.7,2,@b{nd@nm@nt,N,4,11,4,-12.63310163726264,12.63310163726264
14,abase,0.0,0,@b1s,V,2,4,2,-6.3188058772035305,6.3188058772035305
15,abasement,0.0,2,@b1sm@nt,N,3,8,3,-10.55741110734666,10.55741110734666
16,abash,0.0,0,@b{S,V,2,4,2,-6.531811616124731,6.531811616124731
17,abate,0.3,0,@b1t,V,2,4,2,-5.661579112140662,5.661579112140662
18,abatement,0.0,2,@b1tm@nt,N,3,8,3,-10.26466042072336,10.26466042072336
19,abattoir,0.3,0,{b@tw#R,N,3,7,3,-10.537946974544504,10.537946974544504
20,abbe,0.0,1,{b1,N,2,3,2,-5.976553095647893,5.976553095647893
21,abbess,0.48,0,{bEs,N,2,4,2,-6.163235993132845,6.163235993132845
22,abbey,1.0,1,{bI,N,2,3,2,-4.651451705576046,4.651451705576046
23,abbot,0.3,1,{b@t,N,2,4,2,-5.88893674760945,5.88893674760945
24,abbreviate,0.3,0,@brivI1t,V,4,8,4,-10.65461895595346,10.65461895595346
25,abbreviation,0.0,2,@brivI1SH,N,5,9,4,-10.508662225563413,10.508662225563413
26,ABC,0.3,1,1bisi,N,3,5,3,-9.955214700227515,9.955214700227515
27,abdicate,0.3,0,{bdIk1t,V,3,7,3,-9.757927434211297,9.757927434211297
28,abdication,0.3,2,{bdIk1SH,N,4,8,3,-9.61197070382125,9.61197070382125
29,abdomen,0.78,0,{bd@mEn,N,3,7,3,-10.40841920401101,10.40841920401101
30,abdominal,0.85,2,{bdQmInP,A,4,8,3,-12.051142982408791,12.051142982408791
31,abduct,0.0,0,@bdVkt,V,2,6,2,-9.681645249842713,9.681645249842713
32,abduction,0.0,2,{bdVkSH,N,3,7,2,-10.425410387158227,10.425410387158227
33,abeam,0.0,2,@bim,ADV,2,4,2,-6.502232131950594,6.502232131950594
34,abed,0.0,2,@bEd,A,2,4,2,-6.102998468598225,6.102998468598225
35,aberrant,0.0,2,{bEr@nt,A,3,7,3,-8.922356678681204,8.922356678681204
36,aberration,0.48,0,{b@r1SH,N,4,7,3,-7.442235851149505,7.442235851149505
37,abet,0.3,1,@bEt,V,2,4,2,-5.960339866222857,5.960339866222857
38,abettor,0.0,2,@bEt@R,N,3,6,3,-7.100564355397051,7.100564355397051
39,abeyance,0.0,2,@b1@ns,N,3,6,3,-8.80549399082769,8.80549399082769
40,abeyant,0.0,0,@b1@nt,A,3,6,3,-8.543723637042916,8.543723637042916
41,abhor,0.3,0,@bh$R,V,2,5,2,-8.217995012400193,8.217995012400193
42,abhorrence,0.0,2,@bhQr@ns,N,3,8,3,-11.349051923366996,11.349051923366996
43,abhorrent,0.0,2,@bhQr@nt,A,3,8,3,-11.087281569582224,11.087281569582224
44,abidance by,0.0,2,@b2d@nsb2,N,4,9,4,-13.576920575971206,13.576920575971206
45,abide,0.7,0,@b2d,V,2,4,2,-6.031011803292277,6.031011803292277
46,abide by,0.0,2,@b2db2,V,3,6,3,-10.475990616802768,10.475990616802768
47,abiding,0.3,1,@b2dIN,A,3,6,3,-7.606489416516386,7.606489416516386
48,abilities,0.0,1,@bIl@tIz,N,4,8,4,-9.721088728480291,9.721088728480291
49,ability,1.94,2,@bIl@tI,N,4,7,4,-8.349616982560066,8.349616982560066
50,ab initio,0.0,0,{bInISI5,ADV,5,8,5,-11.772945947658677,11.772945947658677
51,abject,0.48,0,{b_Ekt,A,2,6,2,-9.007228802168019,9.007228802168019
52,abjection,0.0,2,{b_EkSH,N,3,7,2,-9.395636938308877,9.395636938308877
53,abjectly,0.0,2,{b_EktlI,ADV,3,8,3,-10.966155450007646,10.966155450007646
54,abjuration,0.0,2,{b_9r1SH,N,4,8,3,-9.887010251366018,9.887010251366018
55,abjure,0.0,0,@b_9R,V,2,5,2,-7.871030008662691,7.871030008662691
56,ablative,0.0,1,{bl@tIv,N,3,7,3,-9.066544808896682,9.066544808896682
57,ablative,0.0,0,{bl@tIv,A,3,7,3,-9.066544808896682,9.066544808896682
58,ablaut,0.0,0,{bl6t,N,2,5,2,-7.573744250980291,7.573744250980291
59,ablaze,0.0,2,@bl1z,A,2,5,2,-7.07862311817119,7.07862311817119
60,ablaze,0.0,1,@bl1z,ADV,2,5,2,-7.07862311817119,7.07862311817119
61,able,2.52,1,1bP,A,2,3,1,-5.190643782775649,5.190643782775649
62,able-bodied,0.0,3,1bPbQdId,A,4,8,3,-12.935764736482222,12.935764736482222
63,able-bodied seaman,0.0,2,1bPbQdIdsim@n,N,6,13,5,-19.80633521895618,19.80633521895618
64,able seaman,0.0,2,1bPsim@n,N,4,8,3,-12.683714400796038,12.683714400796038
65,ablution,0.0,0,@bluSH,N,3,6,2,-7.443162003819072,7.443162003819072
66,ablutions,0.0,1,@bluSHz,N,3,7,2,-9.457301557437123,9.457301557437123
67,ably,0.6,2,1blI,ADV,2,4,2,-6.254927084625778,6.254927084625778
68,abnegate,0.0,2,{bnIg1t,V,3,7,3,-10.754669414178338,10.754669414178338
69,abnegation,0.0,2,{bnIg1SH,N,4,8,3,-10.608712683788289,10.608712683788289
70,abnormal,0.78,2,{bn$mP,A,3,6,2,-11.504822913664395,11.504822913664395
71,abnormality,0.3,2,{bn$m{l@tI,N,5,10,5,-14.681846297804842,14.681846297804842
72,abnormally,0.3,2,{bn$m@lI,ADV,4,8,4,-11.894058738663203,11.894058738663203
73,abo,0.0,1,{b5,N,2,3,2,-5.576057219322455,5.576057219322455
74,aboard,0.85,2,@b$d,ADV,2,4,2,-5.836846731937722,5.836846731937722
75,aboard,0.95,1,@b$d,PREP,2,4,2,-5.836846731937722,5.836846731937722
76,abode,0.3,0,@b5d,N,2,4,2,-6.350907737674127,6.350907737674127
77,abolish,1.23,0,@bQlIS,V,3,6,3,-8.203128743915036,8.203128743915036
78,abolition,0.9,2,{b5lISH,N,4,7,3,-8.115184877699056,8.115184877699056
79,abolitionist,0.0,2,{b5lIS@nIst,N,5,11,5,-12.208841737973948,12.208841737973948
80,A-bomb,0.0,1,1bQm,N,2,4,2,-7.6895191546479715,7.6895191546479715
81,abominable,0.3,0,@bQmIn@bP,A,5,9,4,-10.43699214101305,10.43699214101305
82,abominable snowman,0.0,2,@bQmIn@bPsn5m{n,N,7,15,6,-20.047919086810992,20.047919086810992
