,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,num_phones,num_sylls_est,log_prob,surprisal
83,abominably,0.0,2,@bQmIn@blI,ADV,5,10,5,-11.501275442863179,11.501275442863179
84,abominate,0.0,0,@bQmIn1t,V,4,8,4,-10.073020339398354,10.073020339398354
85,abomination,0.0,2,@bQmIn1SH,N,5,9,4,-9.927063609008306,9.927063609008306
86,aboriginal,0.0,1,{b@rI_@nP,N,5,9,4,-11.207567503320199,11.207567503320199
87,aboriginal,0.78,2,{b@rI_@nP,A,5,9,4,-11.207567503320199,11.207567503320199
88,aborigine,0.0,1,{b@rI_@nI,N,5,9,5,-10.596155696212199,10.596155696212199
89,Aborigine,0.6,1,{b@rI_InI,N,5,9,5,-10.58677562131873,10.58677562131873
90,abort,0.3,0,@b$t,V,2,4,2,-5.689799376667558,5.689799376667558
91,abortion,1.3,2,@b$SH,N,3,5,2,-6.484813506561144,6.484813506561144
92,abortionist,0.0,2,@b$SHIst,N,4,8,3,-10.168872440818575,10.168872440818575
93,abortive,0.48,2,@b$tIv,A,3,6,3,-8.06246255193848,8.06246255193848
94,abortively,0.0,2,@b$tIvlI,ADV,4,8,4,-9.512777765166897,9.512777765166897
95,abound,0.7,0,@b6nd,V,2,5,2,-6.7347004771798975,6.7347004771798975
96,abound in,0.0,2,@b6ndIn,V,3,7,3,-8.603035781419148,8.603035781419148
97,abound with,0.0,2,@b6ndwID,V,3,8,3,-12.759526080545204,12.759526080545204
98,about,2.54,1,@b6t,ADV,2,4,2,-5.889987217080884,5.889987217080884
99,about,3.33,1,@b6t,PREP,2,4,2,-5.889987217080884,5.889987217080884
100,about,0.0,1,@b6t,A,2,4,2,-5.889987217080884,5.889987217080884
101,about-face,0.0,1,@b6tf1s,V,3,7,3,-10.927486465455393,10.927486465455393
102,about-face,0.0,2,@b6tf1s,N,3,7,3,-10.927486465455393,10.927486465455393
103,about turn,0.0,2,@b6tt3n,N,3,7,3,-12.720543403252636,12.720543403252636
104,above,1.6,1,@bVv,ADV,2,4,2,-6.662774445142894,6.662774445142894
105,above,2.23,1,@bVv,PREP,2,4,2,-6.662774445142894,6.662774445142894
106,above,0.95,1,@bVv,A,2,4,2,-6.662774445142894,6.662774445142894
107,above,0.6,1,@bVv,N,2,4,2,-6.662774445142894,6.662774445142894
108,above board,0.0,1,@bVvb$d,ADV,3,7,3,-12.151008606394333,12.151008606394333
109,aboveboard,0.0,2,@bVvb$d,A,3,7,3,-12.151008606394333,12.151008606394333
110,above-mentioned,0.0,2,@bVvmEnSHd,A,4,10,3,-15.172946814596358,15.172946814596358
111,above-mentioned,0.0,1,@bVvmEnSHd,N,4,10,3,-15.172946814596358,15.172946814596358
112,above-named,0.0,2,@bVvn1md,A,3,8,3,-13.593175378198621,13.593175378198621
113,above-named,0.0,1,@bVvn1md,N,3,8,3,-13.593175378198621,13.593175378198621
114,abracadabra,0.0,1,{br@k@d{br@,N,5,11,5,-15.666656832068146,15.666656832068146
115,abracadabra,0.0,0,{br@k@d{br@,I,5,11,5,-15.666656832068146,15.666656832068146
116,abrade,0.0,0,@br1d,V,2,5,2,-6.932132377790468,6.932132377790468
117,abrasion,0.0,2,@br1ZH,N,3,6,2,-7.812311715390758,7.812311715390758
118,abrasive,0.0,1,@br1sIv,N,3,7,3,-9.439057472504254,9.439057472504254
119,abrasive,0.3,2,@br1sIv,A,3,7,3,-9.439057472504254,9.439057472504254
120,abrasively,0.0,2,@br1sIvlI,ADV,4,9,4,-10.88937268573267,10.88937268573267
121,abreast,0.3,2,@brEst,ADV,2,6,2,-7.101786974012669,7.101786974012669
122,abridge,0.0,0,@brI_,V,2,5,2,-6.9694169186332555,6.9694169186332555
123,abridgment,0.0,2,@brI_m@nt,N,3,9,3,-10.961279622341731,10.961279622341731
124,abroad,1.63,2,@br$d,ADV,2,5,2,-7.388477820136787,7.388477820136787
125,abrogate,0.0,0,{br5g1t,V,3,7,3,-9.49660099880505,9.49660099880505
126,abrogation,0.0,2,{br5g1SH,N,4,8,3,-9.350644268415001,9.350644268415001
127,abrupt,0.85,0,@brVpt,A,2,6,2,-8.716851980228139,8.716851980228139
128,abruptly,1.26,2,@brVptlI,ADV,3,8,3,-10.675778628067764,10.675778628067764
129,abruptness,0.0,2,@brVptnIs,N,3,9,3,-12.470616628966386,12.470616628966386
130,abscess,0.0,0,{bsIs,N,2,5,2,-7.158979220021687,7.158979220021687
131,abscond,0.0,0,@bskQnd,V,2,7,2,-9.229954381501056,9.229954381501056
132,absence,1.61,2,{bs@ns,N,2,6,2,-8.406909360126118,8.406909360126118
133,absence of mind,0.0,0,{bs@nsQvm2nd,N,4,12,4,-18.531920928303304,18.531920928303304
134,absent,0.0,1,{bsEnt,V,2,6,2,-8.187638381025987,8.187638381025987
135,absent,1.11,0,{bs@nt,A,2,6,2,-8.145139006341346,8.145139006341346
136,absentee,0.3,2,{bs@nti,N,3,7,3,-10.60528152619552,10.60528152619552
137,absenteeism,0.0,2,{bs@ntiIz@m,N,5,11,5,-15.824580809600675,15.824580809600675
138,absently,0.3,2,{bs@ntlI,ADV,3,8,3,-10.104065654180971,10.104065654180971
139,absent-minded,0.0,3,{bs@ntm2ndId,A,4,12,4,-16.205880389031602,16.205880389031602
140,absent-mindedly,0.0,2,{bs@ntm2ndIdlI,ADV,5,14,5,-18.096744062691915,18.096744062691915
141,absent-mindedness,0.0,2,{bs@ntm2ndIdnIs,N,5,15,5,-19.780433753906745,19.780433753906745
142,absinth,0.0,1,{bsInT,N,2,6,2,-9.596908368549109,9.596908368549109
143,absolute,1.62,0,{bs@lut,A,3,7,3,-10.170176144818114,10.170176144818114
144,absolutely,1.92,2,{bs@lutlI,ADV,4,9,4,-12.12910279265774,12.12910279265774
145,absoluteness,0.0,2,{bs@lutnIs,N,4,10,4,-13.923940793556362,13.923940793556362
146,absolute zero,0.0,2,{bs@lutz7r5,N,5,11,5,-20.33050298798515,20.33050298798515
147,absolution,0.0,2,{bs@luSH,N,4,8,3,-10.744801526943654,10.744801526943654
148,absolutism,0.0,2,{bs@lutIz@m,N,5,11,5,-14.71117752708588,14.71117752708588
149,absolve,0.3,0,@bzQlv,V,2,6,2,-11.357330067306938,11.357330067306938
150,absorb,1.58,0,@bs$b,V,2,5,2,-9.812670806983146,9.812670806983146
151,absorbent,0.0,1,@bs$b@nt,N,3,8,3,-11.534448021376456,11.534448021376456
152,absorbent,0.0,2,@bs$b@nt,A,3,8,3,-11.534448021376456,11.534448021376456
153,absorbing,0.0,1,@bs$bIN,A,3,7,3,-10.730411194280096,10.730411194280096
154,absorption,0.6,2,@bs$pSH,N,3,7,2,-10.826046241587575,10.826046241587575
155,abstain,0.6,0,@bst1n,V,2,6,2,-8.572699567053212,8.572699567053212
156,abstainer,0.0,2,@bst1n@R,N,3,8,3,-9.741614209387544,9.741614209387544
157,abstemious,0.0,0,{bstimj@s,A,3,9,3,-12.654268983425057,12.654268983425057
158,abstemiously,0.0,2,{bstimj@slI,ADV,4,11,4,-14.432823876341832,14.432823876341832
159,abstemiousness,0.0,2,{bstimj@snIs,N,4,12,4,-15.885112023565146,15.885112023565146
160,abstention,0.0,2,@bstEnSH,N,3,8,2,-9.565597886236633,9.565597886236633
161,abstinence,0.3,2,{bstIn@ns,N,3,9,3,-10.700724170523921,10.700724170523921
162,abstinent,0.0,2,{bstIn@nt,A,3,9,3,-10.438953816739147,10.438953816739147
163,abstract,0.48,1,{bstr{kt,N,2,8,2,-10.312542632553992,10.312542632553992
164,abstract,0.0,1,{bstr{kt,V,2,8,2,-10.312542632553992,10.312542632553992
165,abstract,0.0,1,{bstr{kt,V,2,8,2,-10.312542632553992,10.312542632553992
166,abstract,1.34,0,{bstr{kt,A,2,8,2,-10.312542632553992,10.312542632553992
167,abstracted,0.0,1,{bstr{ktId,A,3,10,3,-12.449443615616678,12.449443615616678
168,abstractedly,0.0,2,{bstr{ktIdlI,ADV,4,12,4,-14.34030728927699,14.34030728927699
169,abstraction,0.85,2,{bstr{kSH,N,3,9,2,-10.70095076869485,10.70095076869485
170,abstruse,0.0,0,{bstrus,A,2,7,2,-9.726153058890413,9.726153058890413
171,abstrusely,0.0,2,{bstruslI,ADV,3,9,3,-11.504707951807188,11.504707951807188
172,abstruseness,0.0,2,{bstrusnIs,N,3,10,3,-12.956996099030501,12.956996099030501
173,absurd,1.4,0,@bs3d,A,2,5,2,-8.213093706412565,8.213093706412565
174,absurdity,0.85,2,@bs3d@tI,N,4,8,4,-11.00749345451622,11.00749345451622
175,absurdly,0.48,2,@bs3dlI,ADV,3,7,3,-10.103957380072876,10.103957380072876
176,abundance,0.85,2,@bVnd@ns,N,3,8,3,-9.17815110643075,9.17815110643075
177,abundant,0.95,2,@bVnd@nt,A,3,8,3,-8.916380752645978,8.916380752645978
178,abundantly,0.6,2,@bVnd@ntlI,ADV,4,10,4,-10.875307400485605,10.875307400485605
179,abuse,1.23,1,@bjus,N,2,5,2,-6.524716557747906,6.524716557747906
180,abuse,0.85,2,@bjuz,V,2,5,2,-6.457812820504652,6.457812820504652
181,abusive,0.3,2,@bjusIv,A,3,7,3,-9.138326617997711,9.138326617997711
182,abusively,0.0,2,@bjusIvlI,ADV,4,9,4,-10.588641831226127,10.588641831226127
183,abutment,0.0,2,@bVtm@nt,N,3,8,3,-10.785662968102166,10.785662968102166
184,abut on,0.0,0,@bVtQn,V,3,6,3,-9.11227498609389,9.11227498609389
185,abysmal,0.0,0,@bIzmP,A,3,6,2,-9.138537038445138,9.138537038445138
186,abysmally,0.0,2,@bIzm@lI,ADV,4,8,4,-9.527772863443946,9.527772863443946
187,abyss,0.6,0,@bIs,N,2,4,2,-5.113279523988648,5.113279523988648
188,A/C,0.0,0,1si,,2,3,2,-6.657532904493702,6.657532904493702
189,acacia,0.3,0,@k1S@,N,3,5,3,-7.756916569531242,7.756916569531242
190,academic,1.04,1,{k@dEmIk,N,4,8,4,-10.298279693793905,10.298279693793905
191,academic,1.66,2,{k@dEmIk,A,4,8,4,-10.298279693793905,10.298279693793905
192,academically,0.3,2,{k@dEmIk@lI,ADV,6,11,6,-12.272606130987457,12.272606130987457
193,academicals,0.0,3,{k@dEmIkPz,N,5,10,4,-12.96835795233562,12.96835795233562
194,academician,0.0,2,@k{d@mISH,N,5,9,4,-11.22445898168108,11.22445898168108
195,academy,1.04,0,@k{d@mI,N,4,7,4,-9.826840384133355,9.826840384133355
196,acc.,0.0,0,1sisi,,3,5,3,-9.568153223549704,9.568153223549704
197,accede,0.3,0,{ksid,V,2,5,2,-7.104487320119663,7.104487320119663
198,accelerando,0.0,1,@ksEl@r{nd5,N,5,11,5,-14.314897960645224,14.314897960645224
199,accelerando,0.0,0,@JEl@r{nd5,A,5,10,5,-14.308011477369238,14.308011477369238
200,accelerando,0.0,1,{ksEl@r{nd5,ADV,5,11,5,-13.599158679342086,13.599158679342086
201,accelerate,1.18,0,@ksEl@r1t,V,4,9,4,-11.16999538057851,11.16999538057851
202,acceleration,0.9,2,@ksEl@r1SH,N,5,10,4,-11.02403865018846,11.02403865018846
203,accelerator,0.3,2,@ksEl@r1t@R,N,5,11,5,-12.310219869752702,12.310219869752702
204,accent,1.48,0,{ksEnt,N,2,6,2,-7.116178911069983,7.116178911069983
205,accent,0.3,1,{ksEnt,V,2,6,2,-7.116178911069983,7.116178911069983
206,accentuate,0.6,2,{ksEntjU1t,V,4,10,4,-11.751521150320738,11.751521150320738
207,accentuation,0.0,2,{ksEntjU1SH,N,5,11,4,-11.60556441993069,11.60556441993069
208,accept,2.32,0,@ksEpt,V,2,6,2,-9.228257887738202,9.228257887738202
209,acceptability,0.0,2,@ksEpt@bIl@tI,N,6,13,6,-16.28352151327902,16.28352151327902
210,acceptable,1.46,2,@ksEpt@bP,A,4,9,3,-11.629631996267035,11.629631996267035
211,acceptably,0.0,2,@ksEpt@blI,ADV,4,10,4,-12.693915298117163,12.693915298117163
212,acceptance,1.36,2,@ksEpt@ns,N,3,9,3,-11.92089107590677,11.92089107590677
213,acceptation,0.0,2,{ksEpt1SH,N,4,9,3,-10.56318331807669,10.56318331807669
214,access,1.62,0,{ksEs,N,2,5,2,-6.610560073802365,6.610560073802365
215,accessibility,0.3,2,@ksEs@bIl@tI,N,6,12,6,-14.739697282271374,14.739697282271374
216,accessible,0.95,2,@ksEs@bP,A,4,8,3,-10.085807765259391,10.085807765259391
217,accession,0.0,2,{ksESH,N,3,6,2,-7.258603810172904,7.258603810172904
218,accessory,0.48,2,@ksEs@rI,N,4,8,4,-10.16766187843026,10.16766187843026
219,accidence,0.0,2,{ksId@ns,N,3,8,3,-9.445084111068686,9.445084111068686
220,accident,1.85,0,{ksId@nt,N,3,8,3,-9.183313757283916,9.183313757283916
221,accidental,0.95,2,{ksIdEntP,A,4,9,3,-10.863989872147013,10.863989872147013
222,accidentally,0.85,2,{ksIdEnt@lI,ADV,5,11,5,-11.84445705268282,11.84445705268282
223,accident-prone,0.0,2,{ksId@ntpr5n,A,4,12,4,-15.289670543199783,15.289670543199783
224,acclaim,0.3,1,@kl1m,N,2,5,2,-8.492864750336311,8.492864750336311
225,acclaim,0.3,2,@kl1m,V,2,5,2,-8.492864750336311,8.492864750336311
226,acclamation,0.0,2,{kl@m1SH,N,4,8,3,-8.725759953499217,8.725759953499217
227,acclimate,0.0,2,{klIm1t,V,3,7,3,-8.530501085541573,8.530501085541573
228,acclimation,0.0,2,{kl2m1SH,N,4,8,3,-9.425063961310128,9.425063961310128
229,acclimatization,0.0,2,@kl2m@t2z1SH,N,6,12,5,-14.369391224320728,14.369391224320728
230,acclimatize,0.0,3,@kl2m@t2z,V,4,9,4,-12.35978801161994,12.35978801161994
231,acclivity,0.0,0,@klIv@tI,N,4,8,4,-9.606669766829123,9.606669766829123
232,accolade,0.0,0,{k5l1d,N,3,6,3,-8.498542265904588,8.498542265904588
233,accommodate,1.18,0,@kQm@d1t,V,4,8,4,-10.850260353710528,10.850260353710528
234,accommodating,0.0,1,@kQm@d1tIN,A,5,10,5,-12.499503599655869,12.499503599655869
235,accommodatingly,0.0,2,@kQm@d1tINlI,ADV,6,12,6,-14.156348007650747,14.156348007650747
236,accommodation,1.53,2,@kQm@d1SH,N,5,9,4,-10.70430362332048,10.70430362332048
237,accommodations,0.0,1,@kQm@d1SHz,N,5,10,4,-12.71844317693853,12.71844317693853
238,accompaniment,0.6,2,@kVmp@nIm@nt,N,5,12,5,-13.686334181472702,13.686334181472702
239,accompanist,0.0,2,@kVmp@nIst,N,4,10,4,-11.509031888607272,11.509031888607272
240,accompany,1.68,2,@kVmp@nI,V,4,8,4,-10.010689047117777,10.010689047117777
241,accomplice,0.48,0,@kVmplIs,N,3,8,3,-9.874014801500651,9.874014801500651
242,accomplish,1.18,0,@kVmplIS,V,3,8,3,-10.991546433562918,10.991546433562918
243,accomplished,0.6,1,@kVmplISt,A,3,9,3,-12.859081587917757,12.859081587917757
244,accomplished fact,0.0,2,@kVmplIStf{kt,N,4,13,4,-18.47788472075438,18.47788472075438
245,accomplishment,0.7,2,@kVmplISm@nt,N,4,12,4,-14.975229617003528,14.975229617003528
246,accord,0.78,1,@k$d,N,2,4,2,-6.592646546417129,6.592646546417129
247,accord,2.05,1,@k$d,V,2,4,2,-6.592646546417129,6.592646546417129
248,accordance,0.85,2,@k$d@ns,N,3,7,3,-9.375200389067759,9.375200389067759
249,according as,0.0,2,@k$dIN{z,C,4,8,4,-15.137987326383929,15.137987326383929
250,accordingly,1.15,3,@k$dINlI,ADV,4,8,4,-9.824968567636116,9.824968567636116
251,according to,0.0,2,@k$dINtu,PREP,4,8,4,-13.98281715543702,13.98281715543702
252,accordion,0.0,2,@k$dj@n,N,3,7,3,-9.823225553629504,9.823225553629504
253,accost,0.3,1,@kQst,V,2,5,2,-6.9510404639632,6.9510404639632
254,accouchement,0.0,0,@kuSmqN,N,3,7,3,-12.976535019409773,12.976535019409773
255,account,2.12,1,@k6nt,N,2,5,2,-7.195070947927101,7.195070947927101
256,account,1.53,1,@k6nt,V,2,5,2,-7.195070947927101,7.195070947927101
257,accountable,0.7,2,@k6nt@bP,A,4,8,3,-9.59644505645593,9.59644505645593
258,accountably,0.0,2,@k6nt@blI,ADV,4,9,4,-10.66072835830606,10.66072835830606
259,accountancy,0.48,2,@k6nt@nsI,N,4,9,4,-10.8733566661976,10.8733566661976
260,accountant,1.04,2,@k6nt@nt,N,3,8,3,-9.625933782310895,9.625933782310895
261,account for,0.0,2,@k6ntf$R,V,3,8,3,-11.170567896385485,11.170567896385485
262,accoutrements,0.0,0,@kut@m@nts,N,4,10,4,-13.273630561034064,13.273630561034064
263,accredit,0.0,2,@krEdIt,V,3,7,3,-9.293205060076673,9.293205060076673
264,accredited,0.0,1,@krEdItId,A,4,9,4,-11.430106043139356,11.430106043139356
265,accrete,0.0,1,@krit,V,2,5,2,-7.351296854177618,7.351296854177618
266,accretion,0.0,2,{kriSH,N,3,6,2,-7.204230668361735,7.204230668361735
267,accrue,0.6,1,@kru,V,2,4,2,-7.0607622843474225,7.0607622843474225
268,accumulate,1.2,0,@kjumjUl1t,V,4,10,4,-11.531812462732358,11.531812462732358
269,accumulation,0.85,2,@kjumjUl1SH,N,5,11,4,-11.38585573234231,11.38585573234231
270,accumulative,0.0,2,@kjumjUl@tIv,A,5,12,5,-13.928482463433932,13.928482463433932
271,accumulatively,0.0,2,@kjumjUl@tIvlI,ADV,6,14,6,-15.378797676662348,15.378797676662348
272,accumulator,0.0,2,@kjumjUl1t@R,N,5,12,5,-12.672036951906552,12.672036951906552
273,accuracy,1.11,2,{kjUr@sI,N,4,8,4,-9.8796166102216,9.8796166102216
274,accurate,1.32,0,{kjUr@t,A,3,7,3,-8.83305315952068,8.83305315952068
275,accurately,1.08,2,{kjUr@tlI,ADV,4,9,4,-10.791979807360306,10.791979807360306
276,accursed,0.0,0,@k3sId,A,3,6,3,-9.393139652546758,9.393139652546758
277,accursedly,0.0,2,@k3sIdlI,ADV,4,8,4,-11.284003326207069,11.284003326207069
278,accurst,0.0,0,@k3st,A,2,5,2,-7.696449806407425,7.696449806407425
279,accusation,1.08,2,{kjuz1SH,N,4,8,3,-8.140730877736491,8.140730877736491
280,accusative,0.0,1,@kjuz@tIv,N,4,9,4,-11.241747648379638,11.241747648379638
281,accusative,0.0,2,@kjuz@tIv,A,4,9,4,-11.241747648379638,11.241747648379638
282,accuse,1.56,1,@kjuz,V,2,5,2,-6.846866946338845,6.846866946338845
283,accused,0.3,1,@kjuzd,A,2,6,2,-8.961383387802883,8.961383387802883
284,accused,0.6,1,@kjuzd,N,2,6,2,-8.961383387802883,8.961383387802883
285,accuser,0.3,2,@kjuz@R,N,3,7,3,-8.049535513784365,8.049535513784365
286,accusing,0.0,1,@kjuzIN,A,3,7,3,-8.927392551696732,8.927392551696732
287,accusingly,0.0,2,@kjuzINlI,ADV,4,9,4,-10.58423695969161,10.58423695969161
288,accustom,0.0,2,@kVst@m,V,3,7,3,-9.641582619297475,9.641582619297475
289,accustomed,1.3,1,@kVst@md,A,3,8,3,-11.663572690996604,11.663572690996604
290,ace,0.7,1,1s,N,1,2,1,-4.3749635023102655,4.3749635023102655
291,acerbic,0.0,0,@s3bIk,A,3,6,3,-8.741845875014638,8.741845875014638
292,acerbity,0.0,2,@s3b@tI,N,4,7,4,-9.486653252389692,9.486653252389692
293,acetate,0.0,0,{sIt1t,N,3,6,3,-7.918048932693212,7.918048932693212
294,acetic,0.0,0,@sitIk,A,3,6,3,-8.105018164977375,8.105018164977375
295,acetic acid,0.0,2,@sitIk{sId,N,5,10,5,-12.85554450239645,12.85554450239645
296,acetyl,0.0,1,{sItIl,N,3,6,3,-8.181009118631412,8.181009118631412
297,acetylene,0.0,2,@sEtIlin,N,4,8,4,-10.713671915247238,10.713671915247238
298,ache,0.7,1,1k,N,1,2,1,-4.667140365353692,4.667140365353692
299,ache,1.08,1,1k,V,1,2,1,-4.667140365353692,4.667140365353692
300,achievable,0.0,2,@Jiv@bP,A,4,7,3,-10.025124977514903,10.025124977514903
301,achieve,2.07,1,@Jiv,V,2,4,2,-8.053728529334782,8.053728529334782
302,achievement,1.6,2,@Jivm@nt,N,3,8,3,-12.645950682042418,12.645950682042418
303,Achilles,0.48,0,@kIliz,N,3,6,3,-9.192305506848307,9.192305506848307
